experiment,base_method,loss_mode,ablation,sadg_method,bn_method,bn_method_tag,bn_layers,bn_mu_std,bn_logvar_std,bn_adv_radius,lambda_bn_cons,lambda_bn_adv,lambda_bn_sens,lambda_bn_affine,lambda_bn_compact,lambda_disp,dice_weight,rho,rho_tag,checkpoint_source,shot,seed,epoch,train_loss,train_base_loss,train_seg_loss,train_disp_loss,epsilon_loss,sadg_grad_norm,perturb_norm,bn_cons_loss,bn_adv_loss,bn_sens_loss,bn_affine_loss,bn_compact_loss,bn_total_reg_loss,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,159,0.04094542110604899,0.04094453581741878,0.040813740608947616,0.002615898830949196,0.03447006669427667,0.09665485471487045,0.05000000000000001,0.0,0.0,0.0,0.008850133711738246,0.0,8.850133415957576e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,160,0.04218453222087452,0.042183641876493184,0.04206092309738908,0.0024543795817797737,0.03516419817294393,0.1067329788846629,0.05000000000000001,0.0,0.0,0.0,0.008904826694301196,0.0,8.904826488885322e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,161,0.0408482269517013,0.04084733421249049,0.04071705415844917,0.002605600914518748,0.03470116827104773,0.09675327049834388,0.05000000000000001,0.0,0.0,0.0,0.008928019287330764,0.0,8.928019131612278e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,162,0.040063398224966865,0.04006250202655792,0.0399339920175927,0.002570203147895102,0.03402898806546416,0.0927244360957827,0.05000000000000001,0.0,0.0,0.0,0.008955808356404305,0.0,8.955808051983435e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,163,0.03998762448983533,0.03998672589659691,0.03983942738601139,0.0029459705276946935,0.03350369366151946,0.09825108626059123,0.05000000000000001,0.0,0.0,0.0,0.008988474495708942,0.0,8.988474259500176e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,164,0.03930812142789364,0.0393072215041944,0.03918253311089107,0.0024937682153124896,0.032962106833500524,0.09769391587802342,0.05000000000000001,0.0,0.0,0.0,0.009001010164086307,0.0,9.001009979263992e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,165,0.03939232948635306,0.03939142291034971,0.039265605487993786,0.0025163485385876682,0.03305952211043665,0.09581166505813599,0.05000000000000001,0.0,0.0,0.0,0.009063876500087125,0.0,9.063876242570197e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,166,0.03892972479973521,0.03892881316798074,0.03880591158355985,0.002458032320386597,0.032362795035753934,0.09757316325392042,0.05000000000000001,0.0,0.0,0.0,0.009117444112364734,0.0,9.117443815804498e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,167,0.03904058039188385,0.03903966450265476,0.0389133556080716,0.002526182498383735,0.03256966319999525,0.09830544303570475,0.05000000000000001,0.0,0.0,0.0,0.009151766143207039,0.0,9.151765912715096e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,168,0.03998169595641749,0.03998077793845108,0.03985861209886415,0.002443321473297796,0.032840508435453684,0.11109644547104836,0.05000000000000001,0.0,0.0,0.0,0.009178313426673412,0.0,9.178313251011007e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
