method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,8,B,vendor_B_Philips,3,41,166,0.17724198915333633,0.007437599525528859,0.3396087793790432,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,42,166,0.1759820778640997,0.007147484690410994,0.33766918575548266,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,43,166,0.17532609154032655,0.007290029988051897,0.3360721234636134,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,44,166,0.17522454122642436,0.00710234426225659,0.3362443948007492,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,45,166,0.17531941956784353,0.007099735631932874,0.33643936778766564,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,46,166,0.1766220911529409,0.008144871017570237,0.33695444042783185,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,47,166,0.17375812980245395,0.006978049330099161,0.33356015958699836,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,48,166,0.17655341863542437,0.00791179101790739,0.3372832559138896,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,49,166,0.1751369405762259,0.007513518749556717,0.33524684392544163,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,50,166,0.17259656231715736,0.00652433765339609,0.33214444918445796,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,51,166,0.17118653069328832,0.006457331626821893,0.3294583963432226,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,52,166,0.17158558111952013,0.006341931515328407,0.3304872997553952,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,53,166,0.16989072466112046,0.0061835708960621474,0.3274143067110016,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,54,166,0.16884551527180586,0.006048593225507402,0.32559384383171436,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,55,166,0.1693160662270454,0.006166118120000395,0.3262998964861933,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,56,166,0.1680924888834896,0.005940102514844522,0.32430477251848544,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,57,166,0.17353904844228044,0.0072814642749053525,0.3325151683515813,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,58,166,0.1688060333436153,0.005930028639801116,0.3257520096039916,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,59,166,0.17066895279539637,0.006488930739754115,0.32836004434130994,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,60,166,0.16799799990223116,0.005652747626124646,0.3246905043362135,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,61,166,0.16655796678759247,0.005360569083973406,0.32239479418978634,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,62,166,0.1651939162872283,0.005368562859864569,0.31965070615062513,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,63,166,0.1643917688493987,0.0052086284976026204,0.3183662817779794,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,64,166,0.16467064551739807,0.005192215205170214,0.3189568601728204,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,65,166,0.1640409276966589,0.005193380097555648,0.31769509447446787,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,66,166,0.16933558611984711,0.0067116923655484275,0.32524778729820825,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,67,166,0.16705695939171744,0.006019057456336646,0.3220758034836456,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,68,166,0.16443196549473038,0.005019396389217441,0.31882513700479487,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,69,166,0.16216172955660935,0.004792998136716883,0.3147374629435769,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,70,166,0.1617543947355575,0.0046594104174165485,0.31418996867555454,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,71,166,0.1635323413703815,0.004604180566812248,0.31785632133573655,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,72,166,0.1602659764508885,0.0044580577025526615,0.31161583780524243,0.001,125,2642
