task_id,patient_setting,seed,vendor,domain,branch_index,test_fraction,paper_lambda,n_slices,mean_balanced_entropy,mean_weight,min_weight,max_weight
11,1,2,D,vendor_D_Canon,0,0.0,1.0,1266,0.07200309398303044,0.11465921720245627,0.06853348761796951,0.3099954426288605
11,1,2,D,vendor_D_Canon,1,0.2,0.8,1266,0.06094067771546272,0.1368958155196425,0.06853547692298889,0.26152095198631287
11,1,2,D,vendor_D_Canon,2,0.4,0.6,1266,0.04940341737172614,0.15904976554673994,0.06853947043418884,0.2523254454135895
11,1,2,D,vendor_D_Canon,3,0.6,0.4,1266,0.044688446481122406,0.1780574092932787,0.06853365153074265,0.25035589933395386
11,1,2,D,vendor_D_Canon,4,0.8,0.19999999999999996,1266,0.033135662973846416,0.19957648450140894,0.06954008340835571,0.262427419424057
11,1,2,D,vendor_D_Canon,5,1.0,0.0,1266,0.02578145661108031,0.21176130791881825,0.06853348761796951,0.3035067021846771
