vendor,metric,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,delta_seed_2022,delta_seed_2023,delta_seed_2024,delta_seed_2025,delta_seed_2026,tent_mean,tent_std,source_mean,delta_mean,delta_std,delta_definition
B,dice_lv,0.67954570093389,0.7151928709848441,0.7867536325545991,0.7834244671375519,0.7718743472235602,0.7252450593027886,0.7394181245463203,0.8240519693251214,0.8322953014624344,0.804899069401949,-0.0456993583688986,-0.0242252535614762,-0.0372983367705223,-0.048870834324882484,-0.03302472217838881,0.7473582037668891,0.04766277537642145,0.7851819048077228,-0.03782370104083368,0.009903144850654738,tent_minus_source
B,dice_macro,0.7202669633337037,0.7348269575908657,0.7653447093079653,0.7713798347841049,0.7613894037636688,0.7227219823655793,0.7297713122916762,0.7606930148423939,0.783033321108587,0.7645513417966803,-0.002455019031875616,0.0050556452991894485,0.004651694465571343,-0.011653486324482154,-0.0031619380330114577,0.7506415737560617,0.021991433321635872,0.7521541944809833,-0.0015126207249216872,0.006848109549198574,tent_minus_source
B,dice_myo,0.708925250257403,0.7202946533328861,0.7411585882719589,0.7639488717423393,0.7156428065466954,0.6934413374681028,0.679775508901106,0.6966485136976687,0.7380833225831865,0.6930955459041174,0.01548391278930028,0.04051914443178006,0.04451007457429024,0.025865549159152734,0.02254726064257806,0.7299940340302566,0.022480589634918866,0.7002088457108362,0.029785188319420276,0.012291437456937601,tent_minus_source
B,dice_rv,0.7723299388098182,0.7689933484548671,0.7681219070973375,0.7667661654724236,0.796651057520751,0.7494795503258471,0.7701203034276022,0.7613785615043916,0.7787213392801396,0.7956594100839742,0.02285038848397103,-0.0011269549727350725,0.006743345592945871,-0.011955173807716046,0.0009916474367768213,0.7745724834710395,0.012511671774820165,0.771071832924391,0.0035006505466485204,0.012762442608369328,tent_minus_source
B,hd95_px_lv,95.90267080124681,95.06440781867379,70.51020489310964,74.40520214862153,78.28284091451917,86.74456560687204,85.5587487802356,44.15922632778967,40.84818789099094,61.06120689982632,9.15810519437477,9.505659038438182,26.350978565319977,33.557014257630584,17.221634014692853,82.8330653152342,11.874411939456534,63.67438710114292,19.158678214091275,10.676910195880629,tent_minus_source
B,hd95_px_macro,72.94575759557935,70.40103440933794,53.42266916308178,44.369884409901815,55.75198915374772,70.55286035592734,65.9357734188304,34.5278900978915,23.021406684291378,38.07725760850244,2.392897239652015,4.465260990507545,18.894779065190278,21.348477725610437,17.67473154524528,59.378266946329724,12.035871250200213,46.42303763308861,12.95522931324111,8.82667820359534,tent_minus_source
B,hd95_px_myo,69.12792202512261,54.82245963389267,46.229468048061,13.44622824283985,63.82954297798226,55.89585836262366,61.09815593709347,29.506180289995,5.962294849456688,41.45736637079019,13.232063662498952,-6.275696303200803,16.723287758066,7.483933393383161,22.372176607192067,49.49112418557968,21.96298104084573,38.7839711619918,10.707153023587875,10.925293384217037,tent_minus_source
B,hd95_px_rv,53.80667996036866,61.316235775447396,43.52833454807468,45.2582228382441,25.143583568741796,69.01815709828631,51.150415539162076,29.918263675889833,22.253737312426523,11.713199554890808,-15.211477137917647,10.16582023628532,13.61007087218485,23.00448552581758,13.430384013850988,45.81061133817533,13.573885403823942,36.81075463613111,8.999856702044218,14.357588870699681,tent_minus_source
C,dice_lv,0.699602086953381,0.7466560963240895,0.8038968371541177,0.7951084635378866,0.8024130498793981,0.6654971690567646,0.7445734166475869,0.8268730665438013,0.817379545088758,0.7912146495698874,0.034104917896616405,0.0020826796765025524,-0.022976229389683578,-0.02227108155087143,0.011198400309510692,0.7695353067697746,0.04563376111479564,0.7691075693813596,0.00042773738841492823,0.024061798264612296,tent_minus_source
C,dice_macro,0.7004652616177739,0.7179800616850155,0.7393815091477879,0.7485026032431686,0.7448172897395228,0.6606619283228296,0.6906160349916658,0.7263139414388655,0.7531218590936395,0.7251629525113341,0.03980333329494434,0.027364026693349697,0.013067567708922367,-0.004619255850470849,0.019654337228188656,0.7302293450866537,0.020410951768890035,0.7111753432716669,0.019054001814986843,0.01655454767393172,tent_minus_source
C,dice_myo,0.6869596971934651,0.7014096482002563,0.6996060504561552,0.7276460300460919,0.6885369725922803,0.6206423154320989,0.657952120998248,0.6489785285701024,0.7090948383869292,0.6446736935601695,0.06631738176136615,0.04345752720200835,0.050627521886052795,0.018551191659162636,0.04386327903211085,0.7008316796976498,0.016312857817070533,0.6562682993895096,0.04456338030814015,0.017236280076505496,tent_minus_source
C,dice_rv,0.714834000706476,0.7058744405307005,0.7146416398330904,0.7227533161455278,0.74350184674689,0.6958463004796251,0.6693225673291627,0.7030902292026927,0.7328911938052312,0.7396005144039457,0.018987700226850812,0.03655187320153774,0.011551410630397663,-0.01013787765970331,0.003901332342944319,0.720321048792537,0.01426826190689772,0.7081501610441314,0.012170887748405445,0.017373483362367874,tent_minus_source
C,hd95_px_lv,93.46700819723233,81.20463778985307,60.25010932801206,66.44852348249847,65.84100370886114,97.40622696627025,78.81356115630717,37.936709929112304,52.46390708058676,65.47653820633609,-3.9392187690379217,2.391076633545893,22.313399398899755,13.984616401911715,0.36446550252505006,73.44225650129141,13.619557044441157,66.41938866772252,7.022867833568898,10.819212687216607,tent_minus_source
C,hd95_px_macro,67.13894829176769,64.08247689304282,51.56184078168556,40.57877724491683,46.62367582895036,81.85350463526089,74.16895272937403,44.12446926490875,28.99203199262508,49.11491155626524,-14.7145563434932,-10.086475836331203,7.437371516776814,11.586745252291749,-2.49123572731488,53.99714380807266,11.344296591406087,55.6507740356868,-1.6536302276141441,11.184320661124794,tent_minus_source
C,hd95_px_myo,59.882036969672235,48.32937511603136,51.253006718627304,14.383993957480882,45.052934526346625,83.81345178238024,62.39406638710775,52.631352841225606,10.70278598152749,55.84613363618324,-23.931414812708006,-14.064691271076391,-1.3783461225983018,3.6812079759533916,-10.793199109836614,43.78026945763168,17.33178994746975,53.07755812568487,-9.297288668053184,10.842907241873883,tent_minus_source
C,hd95_px_rv,48.06779970839849,62.71341777324405,43.18240629841733,40.90381429477111,28.977089251643303,64.34083515713219,81.29923064470714,41.80534502438837,23.809402915761012,26.02206282627641,-16.2730354487337,-18.585812871463084,1.3770612740289536,17.094411379010097,2.955026425366892,44.76890546529486,12.244647747955373,47.45537531365302,-2.6864698483581684,14.807142709685548,tent_minus_source
D,dice_lv,0.7319546960428718,0.7635277295612911,0.782111442565926,0.7883666700161654,0.800881096620753,0.7454857273643772,0.7834262850673792,0.8142237475902726,0.8390463455476851,0.822113152590586,-0.01353103132150546,-0.0198985555060881,-0.03211230502434659,-0.05067967553151964,-0.02123205596983302,0.7733683269614015,0.026787455283388995,0.8008590516320601,-0.02749072467065856,0.014583993382520116,tent_minus_source
D,dice_macro,0.7392670210169004,0.7458937561906968,0.748172647027218,0.7681578983692983,0.7628092784800995,0.7393884888521367,0.7436874865598773,0.7447001631641953,0.7834219237292889,0.7611112405295521,-0.00012146783523625526,0.0022062696308194907,0.0034724838630226795,-0.015264025359990607,0.0016980379505473486,0.7528601202168426,0.012127270355038468,0.75446186056701,-0.0016017403501674687,0.00774574829540356,tent_minus_source
D,dice_myo,0.7216316772979005,0.716010797188304,0.7165162780576818,0.7310429063459039,0.7107998083602155,0.7118630413806943,0.7084104371971955,0.6986077865445891,0.7244954064545688,0.6973862575892988,0.009768635917206114,0.0076003599911084185,0.017908491513092706,0.0065474998913350735,0.01341355077091666,0.7192002934500011,0.007650230100972865,0.7081525858332693,0.011047707616731794,0.0046486468229719165,tent_minus_source
D,dice_rv,0.764214689709929,0.7581427418224951,0.7458902204580465,0.7850641187458255,0.7767469304593299,0.760816697811339,0.7392257374150567,0.7212689553577246,0.7867240191856131,0.7638343114087717,0.003397991898590025,0.018917004407438376,0.02462126510032192,-0.0016599004397875872,0.012912619050558183,0.7660117402391252,0.015396943859190892,0.754373944235701,0.011637796003424183,0.010815563103261455,tent_minus_source
D,hd95_px_lv,98.70822438339363,88.13833702299661,72.89465685936548,77.75309208940064,75.68246414518235,93.21564297111962,76.13973705731023,43.36071168319921,47.06720546792125,57.93272563683402,5.492581412274006,11.998599965686381,29.53394517616627,30.68588662147939,17.74973850834833,82.63535490006774,10.673335045748797,63.543204563276866,19.092150336790876,10.960321640167932,tent_minus_source
D,hd95_px_macro,71.33863160803696,53.49209776187098,45.112666844122394,45.96406415328602,53.05483430391479,73.64967805131064,48.04075657433401,28.235521669832593,23.862592326243686,31.829962168639085,-2.311046443273682,5.451341187536968,16.8771451742898,22.10147182704233,21.224872135275703,53.79245893424623,10.54899329322429,41.123702158072,12.668756776174224,10.68151848347188,tent_minus_source
D,hd95_px_myo,64.77061086378463,25.904674169466734,31.90340513105363,19.672048516995503,57.70617957870827,64.05994739960389,26.00114446573748,16.71428086989782,4.608713687422796,30.064312790324053,0.7106634641807403,-0.09647029627074488,15.189124261155811,15.063334829572707,27.64186678838422,39.99138365200175,20.028418914553505,28.289679842597206,11.701703809404545,11.592576724111517,tent_minus_source
