vendor,stratum,metric,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,source_mean,source_std
B,all_slices,dice_lv,0.6935766789030208,0.7139924011816634,0.7848437553076847,0.8033156305075116,0.77209915344316,0.7535655238686081,0.04733283706172352
B,all_slices,dice_macro,0.6589222422922767,0.6740067388890506,0.7000409684670772,0.7290328870092044,0.706194175801951,0.693639402491912,0.027577272429243883
B,all_slices,dice_myo,0.6649061724727466,0.6585039265274802,0.6684108004615621,0.7134656679240912,0.6642466993102483,0.6739066533392257,0.022398032249985697
B,all_slices,dice_rv,0.6182838755010626,0.6495238889580084,0.6468683496319846,0.6703173625960105,0.6822366746524448,0.6534460302679022,0.02453858829197774
B,all_slices,hd95_2d_px_lv,78.0439037903624,75.8469344968618,41.00890319936376,41.90935046124179,52.25171394280311,57.81216117812657,18.032913648663804
B,all_slices,hd95_2d_px_macro,87.21273304236324,77.69939637779123,52.594757611674545,46.82778606196008,56.01089952922726,64.06911452460328,17.430366921888616
B,all_slices,hd95_2d_px_myo,61.01014664461602,59.48719307546664,34.71671521386306,19.32748126300457,45.85039649331954,44.07838653805397,17.517876872011236
B,all_slices,hd95_2d_px_rv,122.58414869211127,97.76406156104522,82.05865442179682,79.24652646163388,69.93058815155912,90.31679585762927,20.633643973565285
B,foreground_present,dice_lv,0.6996243784273752,0.7212483621219676,0.7908953402197563,0.8105543793339376,0.7780124150986854,0.7600669750403444,0.04738564420014856
B,foreground_present,dice_macro,0.7021216927953854,0.711389375353201,0.7340268469728021,0.7685815878004258,0.7346258817217123,0.7301490769287053,0.025737120264965316
B,foreground_present,dice_myo,0.6649061724727466,0.6585039265274802,0.6684108004615621,0.7134656679240912,0.6642466993102483,0.6739066533392257,0.022398032249985697
B,foreground_present,dice_rv,0.7418345274860342,0.7544158374101552,0.7427744002370877,0.7817247161432488,0.761618530756203,0.7564736024065458,0.016357674682358003
B,foreground_present,hd95_2d_px_lv,75.51065325937589,72.93401833130831,38.42951497908682,38.98391434898213,49.79434932210962,55.130490048172554,18.03070675791688
B,foreground_present,hd95_2d_px_macro,70.37634163864243,61.954022355112365,36.78019891444651,29.461468428724018,42.270761009543136,48.16855846929369,17.30360232622618
B,foreground_present,hd95_2d_px_myo,61.01014664461602,59.48719307546664,34.71671521386306,19.32748126300457,45.85039649331954,44.07838653805397,17.517876872011236
B,foreground_present,hd95_2d_px_rv,74.6082250119354,53.44085565856215,37.19436655038966,30.073009674185347,31.167537213200248,45.29679882165456,18.85825128019722
C,all_slices,dice_lv,0.6394328521630934,0.7243090439167228,0.785302446074918,0.7866859709285962,0.756940090786829,0.7385340807740318,0.06096734968151975
C,all_slices,dice_macro,0.6008255661784921,0.6398808902412713,0.6646334152005942,0.6993305996224993,0.6654223628978373,0.6540185668281389,0.03648722757388832
C,all_slices,dice_myo,0.5881900074624088,0.6346981894660835,0.6193660282945813,0.6810149956272935,0.6100850208680458,0.6266708483436826,0.034738126508957835
C,all_slices,dice_rv,0.5748538389099742,0.5606354373410074,0.589231771232283,0.6302908323116081,0.6292419770386372,0.596850771366702,0.031705253902261185
C,all_slices,hd95_2d_px_lv,97.359584623906,78.13514971219966,42.49849884896348,54.713004103529315,63.59741290309664,67.26073003833902,21.261628951299176
C,all_slices,hd95_2d_px_macro,102.90258741423537,87.96004385640475,65.28118008875138,53.326859104630394,70.21827177904409,75.93778844861319,19.55227165071958
C,all_slices,hd95_2d_px_myo,85.31784930990264,60.971650550245194,56.90139102269184,19.706204367435248,63.629856584756226,57.305390367006225,23.72762206795417
C,all_slices,hd95_2d_px_rv,126.03032830889751,124.77333130676935,96.4436503945988,85.56136884292663,83.42754584927937,103.24724494049433,20.822709154728788
C,foreground_present,dice_lv,0.6486543238883395,0.7349219286215368,0.7943931545225521,0.7970603941594558,0.7643048085424768,0.7478669219468722,0.06096229286916501
C,foreground_present,dice_macro,0.641248206731655,0.6736427627246915,0.700036954940756,0.7296920061150532,0.692613003889588,0.6874465868803488,0.032767058796180325
C,foreground_present,dice_myo,0.5896531666849522,0.6362770406836608,0.620906739807752,0.6827090627805953,0.611602645298066,0.6282297310510052,0.0348245397589801
C,foreground_present,dice_rv,0.6854371296216731,0.6497293188688767,0.6848109704919636,0.7093065614051083,0.7019315578282215,0.6862431076431686,0.022989170040926946
C,foreground_present,hd95_2d_px_lv,93.49852674149628,73.95893715910626,38.64759834579215,50.607581670855105,60.54715595743965,63.45195997493788,21.22419044530197
C,foreground_present,hd95_2d_px_macro,86.03142361298573,73.06419951018192,48.348783444362255,38.566530337291134,56.41663788890029,60.48551495874426,19.072982549359054
C,foreground_present,hd95_2d_px_myo,84.63300699872046,60.22624555558128,56.14586100432755,18.858149009132504,62.89106404291448,56.55086532213526,23.78664600344659
C,foreground_present,hd95_2d_px_rv,79.9627370987404,85.00741581585821,50.25289098296708,46.23386033188579,45.811693666346756,61.453719579159646,19.359338750045403
D,all_slices,dice_lv,0.7072537131925781,0.7434015931970189,0.7667413303562369,0.798478805062823,0.7846344376413105,0.7601019758899935,0.036022719833792474
D,all_slices,dice_macro,0.6577368451846944,0.673712606831754,0.6743221227129843,0.7103333066799548,0.6950291129821234,0.6822267988783022,0.020546339276233352
D,all_slices,dice_myo,0.6550215046694373,0.65507723905507,0.6376952766550125,0.6679447497765343,0.6412886182123765,0.6514054776736862,0.012149336009636549
D,all_slices,dice_rv,0.610935317692068,0.622658988243173,0.6185297611277033,0.6645763652005069,0.6591642830926836,0.635172943071227,0.024805254904969397
D,all_slices,hd95_2d_px_lv,84.89211603197829,64.45255321838856,50.545788267317484,48.9337537815351,52.818804497186846,60.32860315928126,15.019289798741392
D,all_slices,hd95_2d_px_macro,88.33300257586036,64.71422126719332,53.11782875680795,46.75342259171372,54.28899727264229,61.441494492843525,16.355771393161984
D,all_slices,hd95_2d_px_myo,67.68825820732908,40.26452801836514,36.58598678830767,23.785151319511264,47.58677925331949,43.18214071736653,16.188078509214527
D,all_slices,hd95_2d_px_rv,112.41863348827376,89.42558256482627,72.22171121479872,67.54136267409481,62.461408067420564,80.81373960188282,20.370445323169704
D,foreground_present,dice_lv,0.7229096919948182,0.7614078152092726,0.771887667712911,0.8120121015153793,0.792802167198141,0.7722038887261045,0.03374742920572069
D,foreground_present,dice_macro,0.69183576589889,0.692525689929091,0.680326163823882,0.7334873804532983,0.7039861598229691,0.7004322319856261,0.020285092165736863
D,foreground_present,dice_myo,0.6577625980710604,0.6578186682060042,0.6403319951890789,0.6707636940522965,0.6427421641052221,0.6538838239247324,0.01248245317970075
D,foreground_present,dice_rv,0.6948350076307913,0.6583505863719963,0.628758828569656,0.7176863457922189,0.6764141481655441,0.6752089833060413,0.03403227144614484
D,foreground_present,hd95_2d_px_lv,78.60793545506061,57.092306556600654,47.65368965328234,43.32060873222171,49.106429943567086,55.156194068146476,14.024095375002897
D,foreground_present,hd95_2d_px_macro,73.77225286966608,54.23120414159076,45.87911271061362,34.255728626835186,46.43974254343588,50.91560817842831,14.631905460207854
D,foreground_present,hd95_2d_px_myo,66.3580696018063,38.76913621893293,35.0684351019474,22.190486166471505,46.5699847003691,41.79122235790545,16.316282399778895
D,foreground_present,hd95_2d_px_rv,76.35075355213128,66.8321696492387,54.915213376611135,37.25609098181235,43.64281298637146,55.79940810923298,16.09735104067152
