vendor,metric,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026,mean,std,std_ddof
B,dice_lv,0.7252450593027886,0.7394181245463203,0.8240519693251214,0.8322953014624344,0.804899069401949,0.7851819048077228,0.04951280054809818,1
B,dice_macro,0.7227219823655793,0.7297713122916762,0.7606930148423939,0.783033321108587,0.7645513417966803,0.7521541944809833,0.02523573706631953,1
B,dice_myo,0.6934413374681028,0.679775508901106,0.6966485136976687,0.7380833225831865,0.6930955459041174,0.7002088457108362,0.02214199300838675,1
B,dice_rv,0.7494795503258471,0.7701203034276022,0.7613785615043916,0.7787213392801396,0.7956594100839742,0.771071832924391,0.01749396671059421,1
B,hd95_px_lv,86.74456560687204,85.5587487802356,44.15922632778967,40.84818789099094,61.06120689982632,63.67438710114292,21.90812636639352,1
B,hd95_px_macro,70.55286035592734,65.9357734188304,34.5278900978915,23.021406684291378,38.07725760850244,46.42303763308861,20.747157110351193,1
B,hd95_px_myo,55.89585836262366,61.09815593709347,29.506180289995,5.962294849456688,41.45736637079019,38.7839711619918,22.14286796643724,1
B,hd95_px_rv,69.01815709828631,51.150415539162076,29.918263675889833,22.253737312426523,11.713199554890808,36.81075463613111,23.088108975339935,1
C,dice_lv,0.6654971690567646,0.7445734166475869,0.8268730665438013,0.817379545088758,0.7912146495698874,0.7691075693813596,0.06613017276812576,1
C,dice_macro,0.6606619283228296,0.6906160349916658,0.7263139414388655,0.7531218590936395,0.7251629525113341,0.7111753432716669,0.03591180447658568,1
C,dice_myo,0.6206423154320989,0.657952120998248,0.6489785285701024,0.7090948383869292,0.6446736935601695,0.6562682993895096,0.032597027677101494,1
C,dice_rv,0.6958463004796251,0.6693225673291627,0.7030902292026927,0.7328911938052312,0.7396005144039457,0.7081501610441314,0.028661007297670495,1
C,hd95_px_lv,97.40622696627025,78.81356115630717,37.936709929112304,52.46390708058676,65.47653820633609,66.41938866772252,23.025567750141544,1
C,hd95_px_macro,81.85350463526089,74.16895272937403,44.12446926490875,28.99203199262508,49.11491155626524,55.6507740356868,21.884742175443066,1
C,hd95_px_myo,83.81345178238024,62.39406638710775,52.631352841225606,10.70278598152749,55.84613363618324,53.07755812568487,26.62225529910696,1
C,hd95_px_rv,64.34083515713219,81.29923064470714,41.80534502438837,23.809402915761012,26.02206282627641,47.45537531365302,24.904653354785328,1
D,dice_lv,0.7454857273643772,0.7834262850673792,0.8142237475902726,0.8390463455476851,0.822113152590586,0.8008590516320601,0.036941601592112974,1
D,dice_macro,0.7393884888521367,0.7436874865598773,0.7447001631641953,0.7834219237292889,0.7611112405295521,0.75446186056701,0.01817611013482999,1
D,dice_myo,0.7118630413806943,0.7084104371971955,0.6986077865445891,0.7244954064545688,0.6973862575892988,0.7081525858332693,0.011044668067368224,1
D,dice_rv,0.760816697811339,0.7392257374150567,0.7212689553577246,0.7867240191856131,0.7638343114087717,0.754373944235701,0.02501471281287571,1
D,hd95_px_lv,93.21564297111962,76.13973705731023,43.36071168319921,47.06720546792125,57.93272563683402,63.543204563276866,20.91288640270075,1
D,hd95_px_macro,73.64967805131064,48.04075657433401,28.235521669832593,23.862592326243686,31.829962168639085,41.123702158072,20.348276717698546,1
D,hd95_px_myo,64.05994739960389,26.00114446573748,16.71428086989782,4.608713687422796,30.064312790324053,28.289679842597206,22.2636294030748,1
D,hd95_px_rv,63.673443783208484,41.98138819995431,24.631572456400757,19.911857823387013,7.492848078759182,31.538222068341952,21.810469723469293,1
