task_id,patient_id,phase,z_index,slice_id,batch_index,updated,skip_reason,pool_size_before,pool_size_after,graph_count,current_graph_count,sampled_nodes,foreground_pixels,foreground_ratio,reliable_pixels,total_nodes,candidate_edges,edge_budget,graph_loss,commonality_loss,total_loss,gradient_norm,selected_self_edge_mass,detach_backbone
54,A3H5R1,ES,1,A3H5R1_ES_slice001,34,False,insufficient_nodes,3,3,4,1,11,406,0.006195068359375,203,43,1806,0,,,,,0.0,False
54,A3H5R1,ES,2,A3H5R1_ES_slice002,35,False,insufficient_nodes,3,3,4,1,11,1068,0.01629638671875,534,44,1892,0,,,,,0.0,False
54,A3H5R1,ES,3,A3H5R1_ES_slice003,36,False,insufficient_nodes,3,3,4,1,11,912,0.013916015625,456,44,1892,0,,,,,0.0,False
54,A3H5R1,ES,4,A3H5R1_ES_slice004,37,False,insufficient_nodes,3,3,4,1,11,1384,0.0211181640625,692,44,1892,0,,,,,0.0,False
54,A3H5R1,ES,5,A3H5R1_ES_slice005,38,False,insufficient_nodes,3,3,4,1,10,1060,0.01617431640625,530,43,1806,0,,,,,0.0,False
54,A3H5R1,ES,6,A3H5R1_ES_slice006,39,False,insufficient_nodes,3,3,4,1,11,737,0.0112457275390625,368,43,1806,0,,,,,0.0,False
54,A3H5R1,ES,7,A3H5R1_ES_slice007,40,False,insufficient_nodes,3,3,4,1,11,584,0.0089111328125,292,43,1806,0,,,,,0.0,False
54,A3H5R1,ES,8,A3H5R1_ES_slice008,41,False,insufficient_nodes,3,3,4,1,11,246,0.003753662109375,123,43,1806,0,,,,,0.0,False
54,A3H5R1,ES,9,A3H5R1_ES_slice009,42,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A3H5R1,ES,10,A3H5R1_ES_slice010,43,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A3H5R1,ES,11,A3H5R1_ES_slice011,44,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A5H1Q2,ED,0,A5H1Q2_ED_slice000,45,False,insufficient_nodes,3,3,4,1,10,1080,0.0164794921875,540,43,1806,0,,,,,0.0,False
54,A5H1Q2,ED,1,A5H1Q2_ED_slice001,46,False,insufficient_nodes,3,3,4,1,11,1697,0.0258941650390625,848,43,1806,0,,,,,0.0,False
54,A5H1Q2,ED,2,A5H1Q2_ED_slice002,47,False,insufficient_nodes,3,3,4,1,11,2304,0.03515625,1152,43,1806,0,,,,,0.0,False
54,A5H1Q2,ED,3,A5H1Q2_ED_slice003,48,False,insufficient_nodes,3,3,4,1,11,2957,0.0451202392578125,1478,43,1806,0,,,,,0.0,False
54,A5H1Q2,ED,4,A5H1Q2_ED_slice004,49,False,insufficient_nodes,3,3,4,1,11,3310,0.050506591796875,1655,44,1892,0,,,,,0.0,False
54,A5H1Q2,ED,5,A5H1Q2_ED_slice005,50,False,insufficient_nodes,3,3,4,1,11,3525,0.0537872314453125,1762,44,1892,0,,,,,0.0,False
54,A5H1Q2,ED,6,A5H1Q2_ED_slice006,51,False,insufficient_nodes,3,3,4,1,11,3422,0.052215576171875,1711,44,1892,0,,,,,0.0,False
54,A5H1Q2,ED,7,A5H1Q2_ED_slice007,52,False,insufficient_nodes,3,3,4,1,11,1354,0.020660400390625,677,44,1892,0,,,,,0.0,False
54,A5H1Q2,ED,8,A5H1Q2_ED_slice008,53,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A5H1Q2,ED,9,A5H1Q2_ED_slice009,54,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A5H1Q2,ES,0,A5H1Q2_ES_slice000,55,False,insufficient_nodes,3,3,4,1,11,871,0.0132904052734375,435,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,1,A5H1Q2_ES_slice001,56,False,insufficient_nodes,3,3,4,1,11,1337,0.0204010009765625,668,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,2,A5H1Q2_ES_slice002,57,False,insufficient_nodes,3,3,4,1,11,1819,0.0277557373046875,909,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,3,A5H1Q2_ES_slice003,58,False,insufficient_nodes,3,3,4,1,11,2263,0.0345306396484375,1131,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,4,A5H1Q2_ES_slice004,59,False,insufficient_nodes,3,3,4,1,11,2475,0.0377655029296875,1237,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,5,A5H1Q2_ES_slice005,60,False,insufficient_nodes,3,3,4,1,11,1969,0.0300445556640625,984,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,6,A5H1Q2_ES_slice006,61,False,insufficient_nodes,3,3,4,1,11,1273,0.0194244384765625,636,44,1892,0,,,,,0.0,False
54,A5H1Q2,ES,7,A5H1Q2_ES_slice007,62,False,insufficient_nodes,3,3,4,1,9,19,0.0002899169921875,9,42,1722,0,,,,,0.0,False
54,A5H1Q2,ES,8,A5H1Q2_ES_slice008,63,False,empty_current_graph,3,3,3,0,0,0,0.0,0,31,930,0,,,,,0.0,False
54,A5H1Q2,ES,9,A5H1Q2_ES_slice009,64,False,insufficient_nodes,3,3,4,1,11,579,0.0088348388671875,289,42,1722,0,,,,,0.0,False
54,A8C5E9,ED,0,A8C5E9_ED_slice000,65,False,empty_current_graph,3,3,3,0,0,0,0.0,0,31,930,0,,,,,0.0,False
54,A8C5E9,ED,1,A8C5E9_ED_slice001,66,False,empty_current_graph,3,3,3,0,0,0,0.0,0,31,930,0,,,,,0.0,False
54,A8C5E9,ED,2,A8C5E9_ED_slice002,67,False,empty_current_graph,3,3,3,0,0,0,0.0,0,31,930,0,,,,,0.0,False
54,A8C5E9,ED,3,A8C5E9_ED_slice003,68,False,empty_current_graph,3,3,3,0,0,0,0.0,0,31,930,0,,,,,0.0,False
54,A8C5E9,ED,4,A8C5E9_ED_slice004,69,False,empty_current_graph,3,3,3,0,0,0,0.0,0,31,930,0,,,,,0.0,False
54,A8C5E9,ED,5,A8C5E9_ED_slice005,70,False,insufficient_nodes,3,3,4,1,11,168,0.0025634765625,84,42,1722,0,,,,,0.0,False
54,A8C5E9,ED,6,A8C5E9_ED_slice006,71,False,insufficient_nodes,3,3,4,1,11,402,0.006134033203125,201,42,1722,0,,,,,0.0,False
54,A8C5E9,ED,7,A8C5E9_ED_slice007,72,False,insufficient_nodes,3,3,4,1,11,292,0.00445556640625,146,44,1892,0,,,,,0.0,False
54,A8C5E9,ED,8,A8C5E9_ED_slice008,73,False,insufficient_nodes,3,3,4,1,12,118,0.001800537109375,59,45,1980,0,,,,,0.0,False
54,A8C5E9,ED,9,A8C5E9_ED_slice009,74,False,insufficient_nodes,3,3,4,1,11,953,0.0145416259765625,476,45,1980,0,,,,,0.0,False
54,A8C5E9,ED,10,A8C5E9_ED_slice010,75,False,empty_current_graph,3,3,3,0,0,0,0.0,0,34,1122,0,,,,,0.0,False
54,A8C5E9,ED,11,A8C5E9_ED_slice011,76,False,insufficient_nodes,3,3,4,1,1,2,3.0517578125e-05,1,35,1190,0,,,,,0.0,False
54,A8C5E9,ED,12,A8C5E9_ED_slice012,77,False,empty_current_graph,3,3,3,0,0,0,0.0,0,24,552,0,,,,,0.0,False
54,A8C5E9,ES,0,A8C5E9_ES_slice000,78,False,empty_current_graph,3,3,3,0,0,0,0.0,0,24,552,0,,,,,0.0,False
54,A8C5E9,ES,1,A8C5E9_ES_slice001,79,False,empty_current_graph,3,3,3,0,0,0,0.0,0,24,552,0,,,,,0.0,False
54,A8C5E9,ES,2,A8C5E9_ES_slice002,80,False,empty_current_graph,3,3,3,0,0,0,0.0,0,24,552,0,,,,,0.0,False
54,A8C5E9,ES,3,A8C5E9_ES_slice003,81,False,insufficient_nodes,3,3,4,1,7,15,0.0002288818359375,7,31,930,0,,,,,0.0,False
54,A8C5E9,ES,4,A8C5E9_ES_slice004,82,False,insufficient_nodes,3,3,4,1,14,55,0.0008392333984375,27,33,1056,0,,,,,0.0,False
54,A8C5E9,ES,5,A8C5E9_ES_slice005,83,False,empty_current_graph,3,3,3,0,0,0,0.0,0,22,462,0,,,,,0.0,False
54,A8C5E9,ES,6,A8C5E9_ES_slice006,84,False,insufficient_nodes,3,3,4,1,11,257,0.0039215087890625,128,33,1056,0,,,,,0.0,False
54,A8C5E9,ES,7,A8C5E9_ES_slice007,85,False,insufficient_nodes,3,3,4,1,11,866,0.013214111328125,433,43,1806,0,,,,,0.0,False
54,A8C5E9,ES,8,A8C5E9_ES_slice008,86,False,insufficient_nodes,3,3,4,1,11,273,0.0041656494140625,136,47,2162,0,,,,,0.0,False
54,A8C5E9,ES,9,A8C5E9_ES_slice009,87,True,,3,3,4,1,19,38,0.000579833984375,19,52,2652,4,0.0049898819997906685,0.1908470094203949,0.04315928369760513,12.525997161865234,0.0,False
54,A8C5E9,ES,10,A8C5E9_ES_slice010,88,True,,3,3,4,1,11,239,0.0036468505859375,119,52,2652,4,0.8529596924781799,0.02898665890097618,0.8587570190429688,48.07529067993164,0.0,False
54,A8C5E9,ES,11,A8C5E9_ES_slice011,89,False,empty_current_graph,3,3,3,0,0,0,0.0,0,41,1640,0,,,,,0.0,False
54,A8C5E9,ES,12,A8C5E9_ES_slice012,90,False,insufficient_nodes,3,3,4,1,1,2,3.0517578125e-05,1,42,1722,0,,,,,0.0,False
54,A8C9H8,ED,0,A8C9H8_ED_slice000,91,False,insufficient_nodes,3,3,4,1,11,408,0.0062255859375,204,42,1722,0,,,,,0.0,False
54,A8C9H8,ED,1,A8C9H8_ED_slice001,92,False,insufficient_nodes,3,3,4,1,11,2123,0.0323944091796875,1061,34,1122,0,,,,,0.0,False
54,A8C9H8,ED,2,A8C9H8_ED_slice002,93,False,insufficient_nodes,3,3,4,1,11,2434,0.037139892578125,1217,34,1122,0,,,,,0.0,False
54,A8C9H8,ED,3,A8C9H8_ED_slice003,94,False,insufficient_nodes,3,3,4,1,11,2315,0.0353240966796875,1157,44,1892,0,,,,,0.0,False
54,A8C9H8,ED,4,A8C9H8_ED_slice004,95,False,insufficient_nodes,3,3,4,1,11,1753,0.0267486572265625,876,44,1892,0,,,,,0.0,False
54,A8C9H8,ED,5,A8C9H8_ED_slice005,96,False,insufficient_nodes,3,3,4,1,11,1349,0.0205841064453125,674,44,1892,0,,,,,0.0,False
54,A8C9H8,ED,6,A8C9H8_ED_slice006,97,False,insufficient_nodes,3,3,4,1,11,928,0.01416015625,464,44,1892,0,,,,,0.0,False
54,A8C9H8,ED,7,A8C9H8_ED_slice007,98,False,insufficient_nodes,3,3,4,1,11,546,0.008331298828125,273,44,1892,0,,,,,0.0,False
54,A8C9H8,ED,8,A8C9H8_ED_slice008,99,False,insufficient_nodes,3,3,4,1,11,318,0.004852294921875,159,44,1892,0,,,,,0.0,False
54,A8C9H8,ED,9,A8C9H8_ED_slice009,100,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A8C9H8,ES,0,A8C9H8_ES_slice000,101,False,insufficient_nodes,3,3,4,1,11,408,0.0062255859375,204,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,1,A8C9H8_ES_slice001,102,False,insufficient_nodes,3,3,4,1,11,2123,0.0323944091796875,1061,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,2,A8C9H8_ES_slice002,103,False,insufficient_nodes,3,3,4,1,11,2434,0.037139892578125,1217,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,3,A8C9H8_ES_slice003,104,False,insufficient_nodes,3,3,4,1,11,2315,0.0353240966796875,1157,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,4,A8C9H8_ES_slice004,105,False,insufficient_nodes,3,3,4,1,11,1753,0.0267486572265625,876,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,5,A8C9H8_ES_slice005,106,False,insufficient_nodes,3,3,4,1,11,1349,0.0205841064453125,674,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,6,A8C9H8_ES_slice006,107,False,insufficient_nodes,3,3,4,1,11,928,0.01416015625,464,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,7,A8C9H8_ES_slice007,108,False,insufficient_nodes,3,3,4,1,11,546,0.008331298828125,273,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,8,A8C9H8_ES_slice008,109,False,insufficient_nodes,3,3,4,1,11,318,0.004852294921875,159,44,1892,0,,,,,0.0,False
54,A8C9H8,ES,9,A8C9H8_ES_slice009,110,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A8I1U6,ED,0,A8I1U6_ED_slice000,111,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A8I1U6,ED,1,A8I1U6_ED_slice001,112,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A8I1U6,ED,2,A8I1U6_ED_slice002,113,False,insufficient_nodes,3,3,4,1,11,538,0.008209228515625,269,44,1892,0,,,,,0.0,False
54,A8I1U6,ED,3,A8I1U6_ED_slice003,114,False,insufficient_nodes,3,3,4,1,11,956,0.01458740234375,478,44,1892,0,,,,,0.0,False
54,A8I1U6,ED,4,A8I1U6_ED_slice004,115,False,insufficient_nodes,3,3,4,1,11,1248,0.01904296875,624,44,1892,0,,,,,0.0,False
54,A8I1U6,ED,5,A8I1U6_ED_slice005,116,False,insufficient_nodes,3,3,4,1,10,1501,0.0229034423828125,750,43,1806,0,,,,,0.0,False
54,A8I1U6,ED,6,A8I1U6_ED_slice006,117,False,insufficient_nodes,3,3,4,1,11,1637,0.0249786376953125,818,43,1806,0,,,,,0.0,False
54,A8I1U6,ED,7,A8I1U6_ED_slice007,118,False,insufficient_nodes,3,3,4,1,10,1981,0.0302276611328125,990,42,1722,0,,,,,0.0,False
54,A8I1U6,ED,8,A8I1U6_ED_slice008,119,False,insufficient_nodes,3,3,4,1,11,2185,0.0333404541015625,1092,42,1722,0,,,,,0.0,False
54,A8I1U6,ED,9,A8I1U6_ED_slice009,120,False,insufficient_nodes,3,3,4,1,11,2452,0.03741455078125,1226,43,1806,0,,,,,0.0,False
54,A8I1U6,ED,10,A8I1U6_ED_slice010,121,False,insufficient_nodes,3,3,4,1,11,2559,0.0390472412109375,1279,43,1806,0,,,,,0.0,False
54,A8I1U6,ED,11,A8I1U6_ED_slice011,122,False,insufficient_nodes,3,3,4,1,10,2720,0.04150390625,1360,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,0,A8I1U6_ES_slice000,123,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A8I1U6,ES,1,A8I1U6_ES_slice001,124,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A8I1U6,ES,2,A8I1U6_ES_slice002,125,False,insufficient_nodes,3,3,4,1,11,538,0.008209228515625,269,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,3,A8I1U6_ES_slice003,126,False,insufficient_nodes,3,3,4,1,11,956,0.01458740234375,478,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,4,A8I1U6_ES_slice004,127,False,insufficient_nodes,3,3,4,1,11,1248,0.01904296875,624,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,5,A8I1U6_ES_slice005,128,False,insufficient_nodes,3,3,4,1,10,1501,0.0229034423828125,750,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,6,A8I1U6_ES_slice006,129,False,insufficient_nodes,3,3,4,1,11,1637,0.0249786376953125,818,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,7,A8I1U6_ES_slice007,130,False,insufficient_nodes,3,3,4,1,10,1981,0.0302276611328125,990,42,1722,0,,,,,0.0,False
54,A8I1U6,ES,8,A8I1U6_ES_slice008,131,False,insufficient_nodes,3,3,4,1,11,2185,0.0333404541015625,1092,42,1722,0,,,,,0.0,False
54,A8I1U6,ES,9,A8I1U6_ES_slice009,132,False,insufficient_nodes,3,3,4,1,11,2452,0.03741455078125,1226,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,10,A8I1U6_ES_slice010,133,False,insufficient_nodes,3,3,4,1,11,2559,0.0390472412109375,1279,43,1806,0,,,,,0.0,False
54,A8I1U6,ES,11,A8I1U6_ES_slice011,134,False,insufficient_nodes,3,3,4,1,10,2720,0.04150390625,1360,43,1806,0,,,,,0.0,False
54,A9F3T5,ED,0,A9F3T5_ED_slice000,135,False,insufficient_nodes,3,3,4,1,11,412,0.00628662109375,206,43,1806,0,,,,,0.0,False
54,A9F3T5,ED,1,A9F3T5_ED_slice001,136,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A9F3T5,ED,2,A9F3T5_ED_slice002,137,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A9F3T5,ED,3,A9F3T5_ED_slice003,138,False,insufficient_nodes,3,3,4,1,11,395,0.0060272216796875,197,43,1806,0,,,,,0.0,False
54,A9F3T5,ED,4,A9F3T5_ED_slice004,139,False,insufficient_nodes,3,3,4,1,8,17,0.0002593994140625,8,40,1560,0,,,,,0.0,False
54,A9F3T5,ED,5,A9F3T5_ED_slice005,140,False,insufficient_nodes,3,3,4,1,11,1175,0.0179290771484375,587,41,1640,0,,,,,0.0,False
54,A9F3T5,ED,6,A9F3T5_ED_slice006,141,False,insufficient_nodes,3,3,4,1,11,2107,0.0321502685546875,1053,41,1640,0,,,,,0.0,False
54,A9F3T5,ED,7,A9F3T5_ED_slice007,142,False,insufficient_nodes,3,3,4,1,11,2115,0.0322723388671875,1057,41,1640,0,,,,,0.0,False
54,A9F3T5,ED,8,A9F3T5_ED_slice008,143,False,insufficient_nodes,3,3,4,1,11,1607,0.0245208740234375,803,44,1892,0,,,,,0.0,False
54,A9F3T5,ED,9,A9F3T5_ED_slice009,144,False,insufficient_nodes,3,3,4,1,11,1062,0.016204833984375,531,44,1892,0,,,,,0.0,False
54,A9F3T5,ED,10,A9F3T5_ED_slice010,145,False,insufficient_nodes,3,3,4,1,11,191,0.0029144287109375,95,44,1892,0,,,,,0.0,False
54,A9F3T5,ED,11,A9F3T5_ED_slice011,146,False,insufficient_nodes,3,3,4,1,11,65,0.0009918212890625,32,44,1892,0,,,,,0.0,False
54,A9F3T5,ES,0,A9F3T5_ES_slice000,147,False,insufficient_nodes,3,3,4,1,11,723,0.0110321044921875,361,44,1892,0,,,,,0.0,False
54,A9F3T5,ES,1,A9F3T5_ES_slice001,148,False,insufficient_nodes,3,3,4,1,11,285,0.0043487548828125,142,44,1892,0,,,,,0.0,False
54,A9F3T5,ES,2,A9F3T5_ES_slice002,149,False,empty_current_graph,3,3,3,0,0,0,0.0,0,33,1056,0,,,,,0.0,False
54,A9F3T5,ES,3,A9F3T5_ES_slice003,150,False,insufficient_nodes,3,3,4,1,12,71,0.0010833740234375,35,45,1980,0,,,,,0.0,False
54,A9F3T5,ES,4,A9F3T5_ES_slice004,151,False,empty_current_graph,3,3,3,0,0,0,0.0,0,34,1122,0,,,,,0.0,False
54,A9F3T5,ES,5,A9F3T5_ES_slice005,152,False,empty_current_graph,3,3,3,0,0,0,0.0,0,34,1122,0,,,,,0.0,False
54,A9F3T5,ES,6,A9F3T5_ES_slice006,153,False,insufficient_nodes,3,3,4,1,11,925,0.0141143798828125,462,45,1980,0,,,,,0.0,False
54,A9F3T5,ES,7,A9F3T5_ES_slice007,154,False,insufficient_nodes,3,3,4,1,11,937,0.0142974853515625,468,45,1980,0,,,,,0.0,False
54,A9F3T5,ES,8,A9F3T5_ES_slice008,155,False,insufficient_nodes,3,3,4,1,11,753,0.0114898681640625,376,45,1980,0,,,,,0.0,False
54,A9F3T5,ES,9,A9F3T5_ES_slice009,156,False,insufficient_nodes,3,3,4,1,11,198,0.003021240234375,99,44,1892,0,,,,,0.0,False
54,A9F3T5,ES,10,A9F3T5_ES_slice010,157,False,insufficient_nodes,3,3,4,1,11,488,0.0074462890625,244,44,1892,0,,,,,0.0,False
54,A9F3T5,ES,11,A9F3T5_ES_slice011,158,False,insufficient_nodes,3,3,4,1,11,84,0.00128173828125,42,44,1892,0,,,,,0.0,False
54,A9L7Y7,ED,0,A9L7Y7_ED_slice000,159,False,insufficient_nodes,3,3,4,1,1,2,3.0517578125e-05,1,34,1122,0,,,,,0.0,False
54,A9L7Y7,ED,1,A9L7Y7_ED_slice001,160,False,insufficient_nodes,3,3,4,1,10,421,0.0064239501953125,210,33,1056,0,,,,,0.0,False
54,A9L7Y7,ED,2,A9L7Y7_ED_slice002,161,False,insufficient_nodes,3,3,4,1,11,1304,0.0198974609375,652,33,1056,0,,,,,0.0,False
54,A9L7Y7,ED,3,A9L7Y7_ED_slice003,162,False,insufficient_nodes,3,3,4,1,11,2128,0.032470703125,1064,33,1056,0,,,,,0.0,False
54,A9L7Y7,ED,4,A9L7Y7_ED_slice004,163,False,insufficient_nodes,3,3,4,1,10,2601,0.0396881103515625,1300,42,1722,0,,,,,0.0,False
54,A9L7Y7,ED,5,A9L7Y7_ED_slice005,164,False,insufficient_nodes,3,3,4,1,11,2658,0.040557861328125,1329,43,1806,0,,,,,0.0,False
54,A9L7Y7,ED,6,A9L7Y7_ED_slice006,165,False,insufficient_nodes,3,3,4,1,11,3230,0.049285888671875,1615,43,1806,0,,,,,0.0,False
54,A9L7Y7,ED,7,A9L7Y7_ED_slice007,166,False,insufficient_nodes,3,3,4,1,11,3908,0.05963134765625,1954,43,1806,0,,,,,0.0,False
54,A9L7Y7,ED,8,A9L7Y7_ED_slice008,167,False,insufficient_nodes,3,3,4,1,11,4452,0.06793212890625,2226,44,1892,0,,,,,0.0,False
54,A9L7Y7,ED,9,A9L7Y7_ED_slice009,168,False,insufficient_nodes,3,3,4,1,11,4302,0.065643310546875,2151,44,1892,0,,,,,0.0,False
54,A9L7Y7,ED,10,A9L7Y7_ED_slice010,169,False,insufficient_nodes,3,3,4,1,11,3678,0.056121826171875,1839,44,1892,0,,,,,0.0,False
54,A9L7Y7,ED,11,A9L7Y7_ED_slice011,170,False,insufficient_nodes,3,3,4,1,11,2652,0.04046630859375,1326,44,1892,0,,,,,0.0,False
