vendor,metric,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,delta_seed_2022,delta_seed_2023,delta_seed_2024,delta_seed_2025,delta_seed_2026,tent_mean,tent_std,source_mean,delta_mean,delta_std,delta_definition
B,dice_lv,0.8460892190732027,0.8638786169437893,0.8617469991719957,0.8706155044634268,0.8407869390609006,0.8768506693856941,0.8731592033525694,0.8785043945258151,0.8701699290027328,0.874614579194114,-0.030761450312491445,-0.009280586408780045,-0.01675739535381937,0.0004455754606940143,-0.03382764013321338,0.8566234557426631,0.012613790980022188,0.8746597550921852,-0.018036299349522045,0.01441504172564577,tent_minus_source
B,dice_macro,0.8315355352496527,0.8386487501985095,0.839459372445922,0.8404367147643245,0.8296153948793535,0.8470111524035294,0.8370770564569021,0.8432260685549272,0.8349000732644755,0.8410113762437841,-0.015475617153876686,0.0015716937416073717,-0.003766696109005263,0.005536641499849004,-0.01139598136443054,0.8359391535075524,0.004983565235078827,0.8406451453847236,-0.0047059918771712225,0.00874562661712493,tent_minus_source
B,dice_myo,0.7969569145243343,0.8044407169159534,0.8008902348474566,0.8073974426987433,0.807914443257343,0.8021150841695819,0.7945638650503444,0.7943776194785047,0.7907486648624912,0.7967173786734048,-0.005158169645247623,0.009876851865609049,0.006512615368951868,0.01664877783625207,0.01119706458393821,0.8035199504487661,0.004614736416349173,0.7957045224468654,0.007815428001900715,0.008119799262936546,tent_minus_source
B,dice_rv,0.8515604721514213,0.8476269167357856,0.8557408833183129,0.8432971971308031,0.8401448023198169,0.8620677036553124,0.8435081009677929,0.8567961916604616,0.8437816259282024,0.8517021708638336,-0.010507231503891101,0.004118815767992667,-0.0010553083421487308,-0.00048442879739929445,-0.011557368544016677,0.847674054331228,0.006245532606134205,0.8515711586151206,-0.0038971042838926275,0.0068255139518636244,tent_minus_source
B,hd95_px_lv,40.15027392782605,28.520342313934176,29.98583994983991,24.80188466766744,44.038694617117216,14.285954750920887,8.723818625648017,7.722836144438148,26.170443889978802,17.372640735212922,25.864319176905163,19.796523688286157,22.263003805401762,-1.3685592223113616,26.666053881904293,33.49940709527696,8.186784284036568,14.855138829239754,18.644268266037205,11.52621341944981,tent_minus_source
B,hd95_px_macro,22.40171264532203,16.571782954941707,15.767677755460188,17.436822441361347,24.746993439963568,8.35527471212661,6.400023350568577,6.123712441002071,15.81509511032101,10.15538823994197,14.046437933195419,10.171759604373129,9.643965314458118,1.6217273310403364,14.591605200021597,19.384997847409768,3.9574655714885036,9.369898770792048,10.01509907661772,5.191509253674081,tent_minus_source
B,hd95_px_myo,14.216941112933815,7.942754055405783,10.64902029860196,10.075528391477581,10.243151803983183,8.134884168384797,2.8944824332472563,9.126968398996725,12.883447295693205,10.178823750983987,6.082056944549018,5.048271622158527,1.5220518996052341,-2.807918904215624,0.06432805299919586,10.625479132480464,2.266317893983273,8.643721209461194,1.9817579230192703,3.6415940663645436,tent_minus_source
B,hd95_px_rv,12.8379228952062,13.252252495485164,6.668173017938699,17.433054264939027,19.959133898790295,2.644985217074146,7.581768992810456,1.5213327795713396,8.391394145291022,2.914700233629012,10.192937678132054,5.670483502674708,5.146840238367359,9.041660119648006,17.044433665161282,14.030107314471877,5.0734072027750825,4.610836273675195,9.419271040796682,4.774707532640845,tent_minus_source
C,dice_lv,0.7943929411055816,0.8147807806506008,0.8204470496857867,0.8331313247422788,0.7760988943447515,0.8502493216765502,0.8371773285974777,0.8479192537472264,0.842188019880787,0.8409387746680997,-0.055856380570968645,-0.022396547946876955,-0.027472204061439687,-0.009056695138508153,-0.0648398803233482,0.8077701981057999,0.022555820006400162,0.8436945397140281,-0.03592434160822833,0.0235037487099058,tent_minus_source
C,dice_macro,0.7671814134508809,0.7778114230140395,0.7797828006524028,0.7890835832096669,0.7566596406109316,0.8005785017475879,0.7872790304867118,0.7921913838589998,0.7881757167242273,0.7935264318480566,-0.03339708829670707,-0.00946760747267228,-0.01240858320659699,0.0009078664854396123,-0.036866791237124996,0.7741037721875843,0.01247607264081555,0.7923502129331167,-0.018246440745532343,0.016234958834454395,tent_minus_source
