vendor,stage,seen_slices,selected_slices,selected_pixels,correct_pixels,gt_foreground_pixels,correct_gt_foreground_pixels,selection_coverage_seed_2022,selection_coverage_seed_2023,selection_coverage_seed_2024,selection_coverage_seed_2025,selection_coverage_seed_2026,selection_coverage_mean,selection_coverage_std,selection_coverage_pooled,pixel_accuracy_seed_2022,pixel_accuracy_seed_2023,pixel_accuracy_seed_2024,pixel_accuracy_seed_2025,pixel_accuracy_seed_2026,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_pooled,foreground_pixel_accuracy_seed_2022,foreground_pixel_accuracy_seed_2023,foreground_pixel_accuracy_seed_2024,foreground_pixel_accuracy_seed_2025,foreground_pixel_accuracy_seed_2026,foreground_pixel_accuracy_mean,foreground_pixel_accuracy_std,foreground_pixel_accuracy_pooled
B,first_filter,13210,13210,865730560,861127569,19102885,16968992,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9944980803265163,0.9948691080051512,0.9948645800374657,0.9947944658439688,0.9943893340209684,0.9946831136468142,0.00022386774123518054,0.994683113646814,0.8942589038252599,0.8824015325433828,0.8919561102943351,0.884303863002892,0.8885532211495802,0.88829472616309,0.004992511602472316,0.88829472616309
B,second_filter,13210,13210,865730560,860733278,19102885,16947546,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9940412580560862,0.9944016646472547,0.9944873033013875,0.9944100390772852,0.9937980877098759,0.9942276705583779,0.0002959021906107311,0.9942276705583779,0.8930109247896325,0.8808433909328356,0.8904848665528793,0.8834992724920869,0.8880218877933883,0.8871720685121645,0.004983238324785127,0.8871720685121646
C,first_filter,6070,6070,397803520,395429235,6914525,5817280,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9935024959055164,0.9943790215833184,0.9942821898609645,0.9948070972323221,0.9931867621483088,0.994031513346086,0.0006668198957023217,0.9940315133460861,0.8516723853048475,0.8301358372411699,0.8454789012983538,0.8347717305237887,0.8445063109902705,0.841313033071686,0.00869749973117017,0.841313033071686
C,second_filter,6070,6070,397803520,395172349,6914525,5805624,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9927025658294829,0.9938803206165697,0.9937074086222264,0.9943481772106993,0.9922902894373584,0.9933857523432673,0.0008574825005564174,0.9933857523432673,0.8483612395645399,0.8309327104898746,0.8441794627975168,0.8339256854230768,0.8407374331570137,0.8396273062864044,0.00718227988892804,0.8396273062864044
D,first_filter,6330,6330,414842880,412782310,7354715,6490768,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9944086059763156,0.9954361516340837,0.9954796259248803,0.9954721170579087,0.994367952030417,0.9950328905247211,0.0005888519309047566,0.9950328905247211,0.8872940691787513,0.8820865254466013,0.8838554587091411,0.8827792783268964,0.8766423987877164,0.8825315460898213,0.00385278604960919,0.8825315460898213
D,second_filter,6330,6330,414842880,412602958,7354715,6485112,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9940020303590603,0.9950512468720688,0.9951919869035718,0.9950521267232548,0.9937053758762836,0.9946005533468479,0.0006921721770431744,0.9946005533468478,0.889213926032484,0.8807961967255019,0.8836746223341081,0.882140232490314,0.8729876004712623,0.881762515610734,0.005857799231130686,0.881762515610734
