task_id,patient_setting,seed,vendor,domain,branch_index,test_fraction,paper_lambda,n_slices,mean_balanced_entropy,mean_weight,min_weight,max_weight
45,3,1,B,vendor_B_Philips,0,0.0,1.0,2642,0.01533304448489169,0.14689385805795085,0.06853348761796951,0.3240940570831299
45,3,1,B,vendor_B_Philips,1,0.2,0.8,2642,0.01450812763675857,0.154303957022202,0.07009141892194748,0.31280121207237244
45,3,1,B,vendor_B_Philips,2,0.4,0.6,2642,0.014542297997381992,0.16128901564808706,0.0695316269993782,0.3164738118648529
45,3,1,B,vendor_B_Philips,3,0.6,0.4,2642,0.014648932312324923,0.16990277832155423,0.0685349851846695,0.3078267276287079
45,3,1,B,vendor_B_Philips,4,0.8,0.19999999999999996,2642,0.01630768797527483,0.17941923393253845,0.06853348761796951,0.3351511061191559
45,3,1,B,vendor_B_Philips,5,1.0,0.0,2642,0.015991671872011767,0.18819115882250145,0.06853348761796951,0.3391166031360626
