method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,4,A,vendor_A_Siemens,4,47,139,0.19982655030145918,0.008138623748564248,0.38337585287128423,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,48,139,0.19572225609700455,0.007111466000620409,0.377221580139167,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,49,139,0.19484127870352147,0.007115130383092508,0.37545229805459224,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,50,139,0.2020450159907341,0.009555471759530709,0.3849790881541993,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,51,139,0.19481661042077936,0.007106901677459371,0.3754194165519673,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,52,139,0.1916027916528338,0.006231044615089572,0.3707434932748191,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,53,139,0.18991821393263425,0.006062364897509809,0.36771169808699933,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,54,139,0.1893974096118975,0.005798586099844077,0.3671976458683288,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,55,139,0.18970756768751487,0.005771120752228035,0.36787289370306964,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,56,139,0.18973384601928348,0.0061430912917118064,0.36718150984040265,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,57,139,0.18868363536090302,0.005616960655093837,0.3661333494049182,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,58,139,0.1874432766126643,0.005455663573439066,0.3639752246814666,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,59,139,0.18640913227372033,0.00534280467436736,0.36213265544326184,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,60,139,0.18665146741935676,0.005198789383586255,0.36290535561257986,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,61,139,0.18651686244302515,0.005081954641642866,0.36286981559271436,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,62,139,0.1859101730284931,0.005104650379821872,0.3616110443425693,0.001,95,2212
