task_id,patient_setting,seed,vendor,domain,grid_index,s,n_slices,mean_tent_entropy,mean_balanced_entropy,n_patients,dice_rv,dice_myo,dice_lv,dice_mean,hd95_rv,hd95_myo,hd95_lv,hd95_mean
0,1,0,A,vendor_A_Siemens,0,0.0,2212,0.002638617849648957,0.10999551941675292,95,0.08045741755919981,0.2595718789060004,0.3858100227824518,0.24194643974921734,312.0231521969101,48.208719013861646,52.85834042651188,137.69673721242785
0,1,0,A,vendor_A_Siemens,1,0.05,2212,0.0026590447033072286,0.10873730609004176,95,0.084497545987632,0.27067407743888927,0.39705281086267025,0.2507414780963972,302.27491815700523,48.73104900748752,52.89006048633465,134.63200921694246
0,1,0,A,vendor_A_Siemens,2,0.1,2212,0.0026700933629482163,0.10601047193110034,95,0.08871862531609916,0.2819964438906038,0.4086821515285312,0.2597990735784114,301.81097409233655,48.812836066598116,46.86460856834867,132.4961395757611
0,1,0,A,vendor_A_Siemens,3,0.15,2212,0.002675376118688336,0.10294059513221983,95,0.09331388274965834,0.29318720719027896,0.4213088296653698,0.26926997320176904,295.4544202865407,49.574668020208094,42.882591127246364,129.30389314466507
0,1,0,A,vendor_A_Siemens,4,0.2,2212,0.0026762219947013767,0.1003816884908011,95,0.09819442262326675,0.30503750584712286,0.4348993943170464,0.27937710759581197,283.1399542918798,49.66339752150857,37.53266563156197,123.44533914831679
0,1,0,A,vendor_A_Siemens,5,0.25,2212,0.002677733502683161,0.09875321083967564,95,0.10289792358591959,0.31695133509433326,0.4483041608052148,0.28938447316182253,265.2487341101086,49.87859851435375,37.841273722036505,117.65620211549962
0,1,0,A,vendor_A_Siemens,6,0.3,2212,0.002683304176555233,0.09761812240256765,95,0.10797456697836512,0.32888645560304963,0.46293471112414286,0.29993191123518587,256.4638967604856,50.41649846061221,37.293924964512385,114.7247733952034
0,1,0,A,vendor_A_Siemens,7,0.35,2212,0.0026880041249563716,0.09566991372307922,95,0.11336286206593037,0.3408172138300056,0.4778564664321223,0.3106788474426861,248.31162828890209,51.20900392399196,36.498776467186104,112.0064695600267
0,1,0,A,vendor_A_Siemens,8,0.4,2212,0.0026925078136822837,0.09265145383953834,95,0.11927482238364082,0.3526161807602651,0.49312256529649284,0.3216711894801329,239.69187170451,52.030377179016924,36.72025439911579,109.48083442754756
0,1,0,A,vendor_A_Siemens,9,0.45,2212,0.002697082994362039,0.09069398387156757,95,0.12588531686897178,0.36434768539485785,0.5085312017214746,0.33292140132843473,221.2612668619458,52.3667746085152,30.53351019551198,101.38718388865766
0,1,0,A,vendor_A_Siemens,10,0.5,2212,0.002704022681445807,0.08747424998361154,95,0.13332546754682695,0.3767098683512015,0.5244255648881487,0.3448203002620591,210.90442397621482,54.000108223678744,30.92797163251049,98.61083461080135
0,1,0,A,vendor_A_Siemens,11,0.55,2212,0.0027111683693554745,0.08485389481920742,95,0.1415502106889855,0.38894370813924894,0.5401079151131224,0.35686727798045226,200.34811059882693,56.21166779287285,30.36918743644716,95.64298860938231
0,1,0,A,vendor_A_Siemens,12,0.6,2212,0.002719171170533549,0.08329728928764449,95,0.15007793037025968,0.40099581184553434,0.5559037501538696,0.3689924974565546,189.60116615591028,57.223576883924544,30.34965431999909,92.3914657866113
0,1,0,A,vendor_A_Siemens,13,0.65,2212,0.0027364349936876663,0.08086990307365889,95,0.1593805642460906,0.4128241749717297,0.5719126785588283,0.3813724725922161,176.7996628317701,58.17573447016965,31.274459983253774,88.74995242839783
0,1,0,A,vendor_A_Siemens,14,0.7,2212,0.0027632897509011385,0.07885466361591285,95,0.16963454458569072,0.4252600815412662,0.5876264621870685,0.3941736961046751,171.39821783335714,58.36175836402976,32.14169808832961,87.30055809523884
0,1,0,A,vendor_A_Siemens,15,0.75,2212,0.00281456681516995,0.07796072253107031,95,0.1797011446444166,0.43703756001837485,0.6036153463830153,0.40678468368193554,168.69712464602202,58.590279752016926,30.953077302667158,86.08016056690202
0,1,0,A,vendor_A_Siemens,16,0.8,2212,0.0028947159917797317,0.07747307821621649,95,0.19087894350677886,0.4488725337453707,0.6196154907357561,0.41978898932930186,156.22517175040133,60.22222165072338,30.958995717560285,82.468796372895
0,1,0,A,vendor_A_Siemens,17,0.85,2212,0.002998106713771386,0.07515644699248913,95,0.2025619528471203,0.459775987385246,0.635993107764542,0.43277701599896945,137.25340707496014,61.997637355039835,31.84013970831212,77.0303947127707
0,1,0,A,vendor_A_Siemens,18,0.9,2212,0.0030871250998655607,0.0743504359976313,95,0.2171009357482033,0.4698471598924121,0.6499069346817783,0.4456183434407979,127.05525473459662,63.00143173195837,33.27128603036331,74.44265749897276
0,1,0,A,vendor_A_Siemens,19,0.95,2212,0.0030684317931413997,0.07131901493327428,95,0.23453804302962158,0.479629254043133,0.6628207556749405,0.458996017582565,123.29135052807717,62.107202356260956,33.39513105960898,72.9312279813157
0,1,0,A,vendor_A_Siemens,20,1.0,2212,0.002662167463030562,0.06763310398924455,95,0.2558334552254853,0.4968408676216996,0.676402746965291,0.47635902327082524,113.58617114696023,57.36660675999277,28.61765052774156,66.5234761448982
