vendor,metric,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,sar_minus_source_seed_2022,sar_minus_source_seed_2023,sar_minus_source_seed_2024,sar_minus_source_seed_2025,sar_minus_source_seed_2026,source_mean,sar_minus_source_mean,sar_minus_source_std,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,sar_minus_tent_seed_2022,sar_minus_tent_seed_2023,sar_minus_tent_seed_2024,sar_minus_tent_seed_2025,sar_minus_tent_seed_2026,tent_mean,sar_minus_tent_mean,sar_minus_tent_std,sar_seed_2022,sar_seed_2023,sar_seed_2024,sar_seed_2025,sar_seed_2026,sar_mean,sar_std
B,dice_lv,0.7252450593027886,0.7394181245463203,0.8240519693251214,0.8322953014624344,0.804899069401949,-0.04571510182437988,-0.024277056250188722,-0.0373420518720019,-0.04892137187045731,-0.033071262726662276,0.7851819048077228,-0.03786536890873802,0.009896376408172123,0.67954570093389,0.7151928709848441,0.7867536325545991,0.7834244671375519,0.7718743472235602,-1.5743455481276314e-05,-5.180268871252114e-05,-4.3715101479602225e-05,-5.0537545574824705e-05,-4.654054827346599e-05,0.7473582037668891,-4.166786790433807e-05,1.4844149635165043e-05,0.6795299574784087,0.7151410682961316,0.7867099174531195,0.783373929591977,0.7718278066752867,0.7473165358989847,0.04765253790382375
B,dice_macro,0.7227219823655793,0.7297713122916762,0.7606930148423939,0.783033321108587,0.7645513417966803,-0.0024785339558949238,0.005023525315553834,0.004621925629408441,-0.011689005822056009,-0.0031947210576694918,0.7521541944809833,-0.00154336197813163,0.006849642371266205,0.7202669633337037,0.7348269575908657,0.7653447093079653,0.7713798347841049,0.7613894037636688,-2.351492401930777e-05,-3.2119983635614524e-05,-2.9768836162902268e-05,-3.5519497573854864e-05,-3.2783024658034066e-05,0.7506415737560617,-3.07412532099427e-05,4.529535735563028e-06,0.7202434484096844,0.7347948376072301,0.7653149404718024,0.771344315286531,0.7613566207390108,0.7506108325028518,0.02198797270964483
B,dice_myo,0.6934413374681028,0.679775508901106,0.6966485136976687,0.7380833225831865,0.6930955459041174,0.01547037678289176,0.040490527393964526,0.04449190843507034,0.025836750545648712,0.02251328249160922,0.7002088457108362,0.029760569129836913,0.012290987300526144,0.708925250257403,0.7202946533328861,0.7411585882719589,0.7639488717423393,0.7156428065466954,-1.353600640852104e-05,-2.861703781553704e-05,-1.8166139219899513e-05,-2.8798613504021908e-05,-3.3978150968838605e-05,0.7299940340302566,-2.461918958336362e-05,8.448658788402342e-06,0.7089117142509945,0.7202660362950706,0.741140422132739,0.7639200731288353,0.7156088283957266,0.7299694148406732,0.022479142301729024
B,dice_rv,0.7494795503258471,0.7701203034276022,0.7613785615043916,0.7787213392801396,0.7956594100839742,0.022809123173802015,-0.001142895197114635,0.006715920325157332,-0.01198239614135932,0.0009738170620443576,0.771071832924391,0.00347471384450595,0.012755624746125785,0.7723299388098182,0.7689933484548671,0.7681219070973375,0.7667661654724236,0.796651057520751,-4.1265310169014136e-05,-1.594022437956255e-05,-2.7425267788538932e-05,-2.722233364327309e-05,-1.783037473246374e-05,0.7745724834710395,-2.593670214257049e-05,1.00558069270008e-05,0.7722886734996491,0.7689774082304875,0.768094481829549,0.7667389431387803,0.7966332271460186,0.774546546768897,0.01251521636117095
B,hd95_px_lv,86.74456560687204,85.5587487802356,44.15922632778967,40.84818789099094,61.06120689982632,9.160325639597133,9.508681867150983,26.355183137117237,33.58825301925248,17.225781587937917,63.67438710114292,19.16764505021115,10.686761474031545,95.90267080124681,95.06440781867379,70.51020489310964,74.40520214862153,78.28284091451917,0.0022204452223633098,0.003022828712801129,0.0042045717972598595,0.031238761621892763,0.0041475732450635405,82.8330653152342,0.00896683611987612,0.012477861754922154,95.90489124646918,95.06743064738659,70.5144094649069,74.43644091024342,78.28698848776423,82.84203215135406,11.868775464584356
B,hd95_px_macro,70.55286035592734,65.9357734188304,34.5278900978915,23.021406684291378,38.07725760850244,2.3956339894485836,4.471773993842859,18.899475450278644,21.4117167458747,17.679165475796495,46.42303763308861,12.971553131048257,8.840737383375076,72.94575759557935,70.40103440933794,53.42266916308178,44.369884409901815,55.75198915374772,0.0027367497965684606,0.006513003335314238,0.004696385088365673,0.06323902026426254,0.004433930551215326,59.378266946329724,0.016323817807145247,0.02626053755116935,72.94849434537592,70.40754741267325,53.427365548170144,44.43312343016608,55.75642308429894,59.394590764136865,12.017519108183562
B,hd95_px_myo,55.89585836262366,61.09815593709347,29.506180289995,5.962294849456688,41.45736637079019,13.231584048941478,-6.265337869246302,16.729246489047597,7.486429011212623,22.38002136396078,38.7839711619918,10.712388608783234,10.923971235483098,69.12792202512261,54.82245963389267,46.229468048061,13.44622824283985,63.82954297798226,-0.00047961355747361267,0.010358433954500867,0.005958730981596716,0.002495617829461949,0.007844756768712102,49.49112418557968,0.005235585195359604,0.0042937516662863995,69.12744241156514,54.83281806784717,46.2354267790426,13.448723860669311,63.83738773475097,49.496359770775044,21.963538049194018
B,hd95_px_rv,69.01815709828631,51.150415539162076,29.918263675889833,22.253737312426523,11.713199554890808,-15.205007720192874,10.171977983623911,13.613996724671125,23.160468207158985,13.431693475490794,36.81075463613111,9.034625734150389,14.393554712989705,53.80667996036866,61.316235775447396,43.52833454807468,45.2582228382441,25.143583568741796,0.006469417724773052,0.00615774733859098,0.003925852486275971,0.15598268134140625,0.0013094616398063863,45.81061133817533,0.03476903210617053,0.06779208496566681,53.813149378093435,61.32239352278599,43.53226040056096,45.41420551958551,25.144893030381603,45.8453803702815,13.574515561707846
C,dice_lv,0.6654971690567646,0.7445734166475869,0.8268730665438013,0.817379545088758,0.7912146495698874,0.034091955800461426,0.00204910732374064,-0.022985619820726666,-0.02228444830022447,0.011183389617600126,0.7691075693813596,0.0004108769241702115,0.024060443417662482,0.699602086953381,0.7466560963240895,0.8038968371541177,0.7951084635378866,0.8024130498793981,-1.296209615497812e-05,-3.3572352761912505e-05,-9.390431043088121e-06,-1.336674935303872e-05,-1.5010691910566365e-05,0.7695353067697746,-1.6860464244716767e-05,9.56443397489139e-06,0.699589124857226,0.7466225239713276,0.8038874467230747,0.7950950967885335,0.8023980391874875,0.7695184463055298,0.04563659202183112
C,dice_macro,0.6606619283228296,0.6906160349916658,0.7263139414388655,0.7531218590936395,0.7251629525113341,0.03979369412796152,0.027350079155674112,0.013053796104136928,-0.004625989691996457,0.019645650196325026,0.7111753432716669,0.019043445978420226,0.01655335082016293,0.7004652616177739,0.7179800616850155,0.7393815091477879,0.7485026032431686,0.7448172897395228,-9.63916698282219e-06,-1.3947537675584876e-05,-1.3771604785439706e-05,-6.733841525607964e-06,-8.687031863630068e-06,0.7302293450866537,-1.055583656661696e-05,3.1931630825492753e-06,0.7004556224507911,0.7179661141473399,0.7393677375430024,0.748495869401643,0.7448086027076591,0.7302187892500871,0.020411955538089603
C,dice_myo,0.6206423154320989,0.657952120998248,0.6489785285701024,0.7090948383869292,0.6446736935601695,0.06632231628537766,0.04344246748530678,0.05060622189870123,0.018541225024509944,0.04386747387248746,0.6562682993895096,0.044555940913276616,0.017239926403236867,0.6869596971934651,0.7014096482002563,0.6996060504561552,0.7276460300460919,0.6885369725922803,4.934524011512842e-06,-1.5059716701570913e-05,-2.129998735156402e-05,-9.966634652691653e-06,4.19484037661455e-06,0.7008316796976498,-7.439394863539839e-06,1.1673062665125132e-05,0.6869646317174766,0.7013945884835547,0.6995847504688036,0.7276360634114392,0.6885411674326569,0.7008242403027862,0.016307192583155165
C,dice_rv,0.6958463004796251,0.6693225673291627,0.7030902292026927,0.7328911938052312,0.7396005144039457,0.0189668102980457,0.036558662657974694,0.011540786234436218,-0.01013474580027418,0.0038860870988869367,0.7081501610441314,0.012163520097813874,0.01737472370037362,0.714834000706476,0.7058744405307005,0.7146416398330904,0.7227533161455278,0.74350184674689,-2.0889928805112312e-05,6.789456436950836e-06,-1.0624395961444932e-05,3.131859429128525e-06,-1.5245244057382479e-05,0.720321048792537,-7.367650591572072e-06,1.189725039024771e-05,0.7148131107776708,0.7058812299871374,0.7146310154371289,0.722756448004957,0.7434866015028326,0.7203136811419453,0.01426355459010832
