vendor,stratum,metric,sar_seed_2022,sar_seed_2023,sar_seed_2024,sar_seed_2025,sar_seed_2026,sar_mean,sar_std,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,sar_minus_source_seed_2022,sar_minus_source_seed_2023,sar_minus_source_seed_2024,sar_minus_source_seed_2025,sar_minus_source_seed_2026,source_mean,sar_minus_source_mean,sar_minus_source_std,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,sar_minus_tent_seed_2022,sar_minus_tent_seed_2023,sar_minus_tent_seed_2024,sar_minus_tent_seed_2025,sar_minus_tent_seed_2026,tent_mean,sar_minus_tent_mean,sar_minus_tent_std
B,all_slices,dice_lv,0.6624497593053156,0.7091357377863214,0.7778757601790903,0.7771721003742362,0.7591481186449622,0.7371562952579851,0.05027225361349244,0.6935766789030208,0.7139924011816634,0.7848437553076847,0.8033156305075116,0.77209915344316,-0.031126919597705194,-0.004856663395341965,-0.006967995128594362,-0.026143530133275417,-0.012951034798197814,0.7535655238686081,-0.01640922861062295,0.011682516972863226,0.6624560514005067,0.7091515641102321,0.7778961522377934,0.7771976914906985,0.7591655805954689,-6.292095191096081e-06,-1.5826323910617113e-05,-2.0392058703078142e-05,-2.5591116462275743e-05,-1.7461950506669766e-05,0.7371734079669399,-1.7112708954747367e-05,7.097534202120154e-06
B,all_slices,dice_macro,0.6648564051138354,0.6948620572894177,0.7268957547430263,0.7331560683545563,0.7236289463808474,0.7086798463763366,0.02857361392191252,0.6589222422922767,0.6740067388890506,0.7000409684670772,0.7290328870092044,0.706194175801951,0.005934162821558675,0.02085531840036714,0.02685478627594906,0.004123181345351834,0.01743477057889642,0.693639402491912,0.015040443884424626,0.009762622960085347,0.6650264198581148,0.694870331047804,0.727068185608735,0.7331684963258273,0.7236385649618566,-0.0001700147442794675,-8.273758386301289e-06,-0.00017243086570872812,-1.2427971270989602e-05,-9.618581009229743e-06,0.7087543995604675,-7.455318413094326e-05,8.82637482910468e-05
B,all_slices,dice_myo,0.6873387245771677,0.713955528989305,0.7277761543490956,0.7576125570901703,0.7037275538688784,0.7180821037749234,0.026574745731647913,0.6649061724727466,0.6585039265274802,0.6684108004615621,0.7134656679240912,0.6642466993102483,0.022432552104421077,0.05545160246182479,0.0593653538875335,0.04414688916607912,0.03948085455863015,0.6739066533392257,0.044175450435697726,0.01460032915238349,0.6873437063135813,0.7139647466740818,0.7277821476284116,0.7576241310437707,0.7037415566016599,-4.98173641361177e-06,-9.21768477679663e-06,-5.9932793160522024e-06,-1.1573953600407805e-05,-1.4002732781515093e-05,0.7180912576523011,-9.1538773776767e-06,3.7672396846536342e-06
B,all_slices,dice_rv,0.6447807314590226,0.6614949050926269,0.6750353497008927,0.6646835475992622,0.7080111666287013,0.6708011400961011,0.023471297466650314,0.6182838755010626,0.6495238889580084,0.6468683496319846,0.6703173625960105,0.6822366746524448,0.02649685595796003,0.011971016134618484,0.028167000068908155,-0.00563381499674831,0.025774491976256586,0.6534460302679022,0.01735510982819899,0.014394735306193595,0.6452795018602565,0.661494682359098,0.67552625696,0.6646836664430124,0.7080085576884413,-0.0004987704012339167,2.227335288429444e-07,-0.0004909072591072761,-1.1884375017423565e-07,2.60894026005154e-06,0.6709985330621617,-0.0001973929660604945,0.0002715459469610093
B,all_slices,hd95_2d_px_lv,88.79076835067336,78.63130541776252,56.98574575151505,62.55915653749949,62.4121756169561,69.8758303348813,13.321292747329805,78.0439037903624,75.8469344968618,41.00890319936376,41.90935046124179,52.25171394280311,10.746864560310954,2.784370920900713,15.97684255215129,20.649806076257697,10.160461674152991,57.81216117812657,12.06366915675473,6.717444120345578,88.79106667312931,78.5998611412924,56.985309596048225,62.56508012204565,62.41169944299287,-0.0002983224559471864,0.03144427647012549,0.00043615546682218564,-0.005923584546160043,0.00047617396322863215,69.8706033951017,0.005226939779613815,0.014897423005581074
B,all_slices,hd95_2d_px_macro,88.46547901732124,75.68738392809911,58.84998470748918,56.75399488455746,61.073477407798165,68.16606398905303,13.564346122778419,87.21273304236324,77.69939637779123,52.594757611674545,46.82778606196008,56.01089952922726,1.2527459749580032,-2.012012449692122,6.255227095814632,9.926208822597374,5.062577878570906,64.06911452460328,4.096949464449759,4.609223752185197,88.40684366670918,75.66333656971983,58.7908682471184,56.74412092556572,61.07340139291883,0.058635350612064485,0.02404735837927774,0.059116460370781,0.00987395899174004,7.601487933328599e-05,68.1357141604064,0.03034982864663931,0.027400164339023016
B,all_slices,hd95_2d_px_myo,69.37612733306193,49.402926545452694,43.09342823603515,22.86949401392308,55.537334986932436,48.05586222308106,17.112273490157555,61.01014664461602,59.48719307546664,34.71671521386306,19.32748126300457,45.85039649331954,8.365980688445909,-10.084266530013949,8.37671302217209,3.5420127509185093,9.686938493612892,44.07838653805397,3.9774756850270903,8.202628434920065,69.37600808651068,49.40091025707325,43.09265628460403,22.8345250708305,55.5313238993856,0.00011924655125028494,0.00201628837944412,0.0007719514311190778,0.03496894309257925,0.006011087546838212,48.04708471968081,0.00877750340024619,0.014819015422609947
B,all_slices,hd95_2d_px_rv,107.22954136822842,99.02791982108212,76.47078013491732,84.83333410224981,65.270921619506,86.56649940919674,16.88695757622942,122.58414869211127,97.76406156104522,82.05865442179682,79.24652646163388,69.93058815155912,-15.354607323882846,1.2638582600368977,-5.587874286879497,5.58680764061593,-4.659666532053123,90.31679585762927,-3.7502964484325276,7.924439055315235,107.05345624048756,98.98923831079392,76.29463886070295,84.832757583821,65.27718083637804,0.17608512774086194,0.03868151028819966,0.1761412742143733,0.0005765184288009095,-0.006259216872038564,86.48945436643669,0.07704504276003946,0.09204319234933027
B,foreground_present,dice_lv,0.6691463033135628,0.7163389870370857,0.7853317378426028,0.7851137807927034,0.7668941761734226,0.7445649970318755,0.05071836517561793,0.6996243784273752,0.7212483621219676,0.7908953402197563,0.8105543793339376,0.7780124150986854,-0.030478075113812397,-0.004909375084881984,-0.005563602377153476,-0.02544059854123415,-0.011118238925262758,0.7600669750403444,-0.015501978008468953,0.011760648130933476,0.6691526636998707,0.7163549851316554,0.7853523512260675,0.7851396496617865,0.7669118276468258,-6.360386307857624e-06,-1.599809456975798e-05,-2.061338346470709e-05,-2.5868869083067736e-05,-1.7651473403157425e-05,0.7445822954732412,-1.729844136570957e-05,7.174567133910831e-06
B,foreground_present,dice_macro,0.7046877675323467,0.730537904650472,0.7537001220553424,0.771714485687682,0.7506293751682339,0.7422539310188154,0.025581094329102626,0.7021216927953854,0.711389375353201,0.7340268469728021,0.7685815878004258,0.7346258817217123,0.0025660747369613546,0.019148529297270955,0.019673275082540354,0.0031328978872561253,0.016003493446521633,0.7301490769287053,0.012104854090110084,0.008567059811101752,0.7046959355756748,0.730546218816242,0.7537101623948144,0.7717270152335356,0.7506388595605963,-8.168043328038443e-06,-8.3141657700736e-06,-1.0040339471939497e-05,-1.2529545853623425e-05,-9.484392362368865e-06,0.7422636383161726,-9.707297357208766e-06,1.7632221107828783e-06
B,foreground_present,dice_myo,0.6873387245771677,0.713955528989305,0.7277761543490956,0.7576125570901703,0.7037275538688784,0.7180821037749234,0.026574745731647913,0.6649061724727466,0.6585039265274802,0.6684108004615621,0.7134656679240912,0.6642466993102483,0.022432552104421077,0.05545160246182479,0.0593653538875335,0.04414688916607912,0.03948085455863015,0.6739066533392257,0.044175450435697726,0.01460032915238349,0.6873437063135813,0.7139647466740818,0.7277821476284116,0.7576241310437707,0.7037415566016599,-4.98173641361177e-06,-9.21768477679663e-06,-5.9932793160522024e-06,-1.1573953600407805e-05,-1.4002732781515093e-05,0.7180912576523011,-9.1538773776767e-06,3.7672396846536342e-06
