vendor,stage,seen_slices,selected_slices,selected_pixels,correct_pixels,gt_foreground_pixels,correct_gt_foreground_pixels,selection_coverage_seed_2022,selection_coverage_seed_2023,selection_coverage_seed_2024,selection_coverage_seed_2025,selection_coverage_seed_2026,selection_coverage_mean,selection_coverage_std,selection_coverage_pooled,pixel_accuracy_seed_2022,pixel_accuracy_seed_2023,pixel_accuracy_seed_2024,pixel_accuracy_seed_2025,pixel_accuracy_seed_2026,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_pooled,foreground_pixel_accuracy_seed_2022,foreground_pixel_accuracy_seed_2023,foreground_pixel_accuracy_seed_2024,foreground_pixel_accuracy_seed_2025,foreground_pixel_accuracy_seed_2026,foreground_pixel_accuracy_mean,foreground_pixel_accuracy_std,foreground_pixel_accuracy_pooled
B,first_filter,13210,13210,865730560,858966422,19102885,16573080,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.993387128438668,0.9922691131522491,0.993407775740295,0.9930927585598919,0.9887771548690623,0.9921867861520333,0.001961172251760887,0.9921867861520333,0.8737368727289098,0.8682827227405704,0.8621839057294225,0.8691509162097767,0.8644929810340166,0.8675694796885391,0.004458577264015423,0.8675694796885391
B,second_filter,13210,13210,865730560,858776511,19102885,16579579,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9931798353058023,0.9920629693377118,0.9932433539137165,0.9928812782120109,0.9884696689002176,0.9919674211338918,0.002011000216902979,0.9919674211338918,0.8736342704256451,0.868821908313849,0.8627707280863597,0.8696393241125621,0.8646822194658031,0.8679096900808438,0.004284276282643712,0.8679096900808438
C,first_filter,6070,6070,397803520,394521269,6914525,5724980,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.993020109525426,0.9915355449846195,0.9926648587724916,0.9919130806082359,0.9896117309369208,0.9917490649655388,0.0013318146674050986,0.9917490649655387,0.8362034991557626,0.8300548483084521,0.8234607583311941,0.8259540604741468,0.824148441143824,0.827964321482676,0.0052711128872424615,0.827964321482676
C,second_filter,6070,6070,397803520,394417621,6914525,5729495,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9928082335721916,0.9912904365451568,0.9924728921453485,0.9916061325953074,0.9892648762886764,0.9914885142293361,0.0013881906898517826,0.9914885142293361,0.8371731970019632,0.8298617764777768,0.8239604311214437,0.826539784005409,0.8255512851569703,0.8286172947527126,0.005247738624620423,0.8286172947527126
D,first_filter,6330,6330,414842880,412048345,7354715,6133634,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9938584458771476,0.9928827752810896,0.9942784482645575,0.9940239543221762,0.9912745278405164,0.9932636303170975,0.001231191783441663,0.9932636303170974,0.8212228482001002,0.8337916561008822,0.8335904246459584,0.8438879004828875,0.8373723522937326,0.8339730363447122,0.008255399263930551,0.8339730363447122
D,second_filter,6330,6330,414842880,411979503,7354715,6137371,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9937185013275388,0.9927350808093898,0.9941228110266711,0.993839559208537,0.99107246338662,0.9930976831517514,0.0012469641140307503,0.9930976831517513,0.8218748109206135,0.8351907585813998,0.8337726206929841,0.8437458147596474,0.8378217238873295,0.8344811457683949,0.008014343237399945,0.8344811457683948
