vendor,metric,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,delta_seed_2022,delta_seed_2023,delta_seed_2024,delta_seed_2025,delta_seed_2026,tent_mean,tent_std,source_mean,delta_mean,delta_std,delta_definition
B,dice_lv,0.8179584205072151,0.7650523078511862,0.8253620627922139,0.8221566822141162,0.7047053118089641,0.8187056471027712,0.8076715428418955,0.8326760748143055,0.8365345356562237,0.7273993354155305,-0.0007472265955560387,-0.0426192349907093,-0.007314012022091587,-0.014377853442107513,-0.02269402360656636,0.787046957034739,0.05224980822113858,0.8045974271661454,-0.01755047013140616,0.0162180353197368,tent_minus_source
B,dice_macro,0.8041809260784746,0.7836238185730637,0.7979471006746778,0.7991733965220869,0.7366456105035888,0.7820095865701856,0.7879275955296259,0.7927870395946695,0.8000732159095298,0.7345710075395877,0.02217133950828898,-0.004303776956562144,0.005160061080008327,-0.0008998193874429905,0.002074602964001082,0.7843141704703783,0.02772232655393678,0.7794736890287197,0.00484048144165865,0.010303875138584016,tent_minus_source
B,dice_myo,0.7580001586700098,0.7535975163009829,0.762576440334386,0.7708585142780375,0.7300942135150837,0.6977321999641297,0.7195872596825941,0.7338968103510993,0.7410167867556795,0.6936889001631009,0.06026795870588009,0.03401025661838886,0.02867962998328666,0.02984172752235803,0.036405313351982826,0.7550253686197,0.015330996530039921,0.7171843913833207,0.03784097723637929,0.012919204005611246,tent_minus_source
B,dice_rv,0.8365841990581988,0.8322216315670219,0.8059027988974341,0.8045049930741066,0.7751373061867185,0.8295909126436558,0.8365239840643877,0.811788233618603,0.8226683253166859,0.7826247870401322,0.0069932864145429985,-0.004302352497365769,-0.0058854347211688696,-0.018163332242579266,-0.007487480853413664,0.810870185756696,0.024794777729996487,0.8166392485366929,-0.005769062779996914,0.00896678892680357,tent_minus_source
B,hd95_px_lv,46.613155231814204,70.92657017024904,39.73463247766396,50.66668632993252,89.68988384591304,24.420090855087157,43.85531888817449,15.566489790367777,26.497420878625213,80.4112690444222,22.193064376727047,27.07125128207455,24.168142687296182,24.169265451307304,9.278614801490846,59.526185611114556,20.474130725261173,38.15011789133537,21.376067719779186,6.982990094643469,tent_minus_source
B,hd95_px_macro,23.400292767936918,35.81725026815938,23.331302084551034,32.19882957697843,65.11019135888081,14.07062785255756,20.759049918529442,9.815139188139938,19.013104409949044,59.91969196368632,9.329664915379357,15.058200349629935,13.516162896411096,13.18572516702939,5.190499395194493,35.97157321130131,17.1837861354463,24.71552266657246,11.256050544728854,3.9934310896041683,tent_minus_source
B,hd95_px_myo,14.205496026037629,25.099527158421925,22.00467817654982,19.14839415112571,52.4687858831937,11.404689263190257,14.80919334464135,11.090955695981348,14.521771742311422,55.35622839556893,2.8008067628473725,10.290333813780574,10.913722480568472,4.626622408814288,-2.887442512375223,26.58537627906576,15.014256339404472,21.436567688338663,5.148808590727097,5.701680378647192,tent_minus_source
B,hd95_px_rv,9.382227045958926,11.42565347580717,8.25459559943931,26.7814082498771,53.17190434753571,6.387103439395263,3.612637522772479,2.787972078070685,16.020120608910492,43.99157845106782,2.995123606563663,7.813015953034691,5.466623521368626,10.761287640966607,9.180325896467892,21.80315774372364,19.067753485944674,14.559882420043348,7.243275323680296,3.068243170331778,tent_minus_source
C,dice_lv,0.7874882272511069,0.7309432766635,0.7682865198370803,0.7691639884358655,0.6840593093570013,0.8021388433798465,0.7801471911144603,0.7959423183500536,0.803443566773741,0.6959555329634791,-0.014650616128739635,-0.049203914450960284,-0.027655798512973284,-0.03427957833787543,-0.011896223606477796,0.7479882643089109,0.04122535757060847,0.7755254905163161,-0.027537226207405285,0.015212038265532458,tent_minus_source
C,dice_macro,0.7497192541566774,0.7172481481410297,0.7355550590511324,0.7321791291641608,0.6881157110512912,0.7354631727153348,0.7355999352426116,0.7379098617860875,0.748124150326814,0.6769270364511206,0.014256081441342605,-0.018351787101581918,-0.0023548027349551415,-0.015945021162653172,0.01118867460017059,0.7245634603128582,0.023417834214514925,0.7268048313043937,-0.0022413709915354075,0.01499900382843817,tent_minus_source
