vendor,stratum,metric,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,tent_mean,tent_std,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,tent_minus_source_seed_2022,tent_minus_source_seed_2023,tent_minus_source_seed_2024,tent_minus_source_seed_2025,tent_minus_source_seed_2026,source_mean,tent_minus_source_mean,tent_minus_source_std
B,all_slices,dice_lv,0.8137938087547119,0.7530574195752338,0.7945125168035928,0.8017824372961939,0.6697691431392729,0.766583065113801,0.058744750753109434,0.8008056683405645,0.7646405080072158,0.793840845741216,0.809371727134812,0.6804954793311346,0.012988140414147309,-0.01158308843198208,0.0006716710623767552,-0.007589289838618063,-0.010726336191861696,0.7698308457109886,-0.003247780597187555,0.01028618108647242
B,all_slices,dice_macro,0.778722667418538,0.7558199545713801,0.7656129814445046,0.7616249643831798,0.6824086882429052,0.7488378512121016,0.038077555585161404,0.7643601882720757,0.7557418055851226,0.7572944283009284,0.7608101294702398,0.6597793296268881,0.01436247914646227,7.814898625746469e-05,0.008318553143576213,0.0008148349129399879,0.022629358616017115,0.7395971762510509,0.00924067496105061,0.009503771613520522
B,all_slices,dice_myo,0.7321040102310584,0.7197761846731526,0.7216661005964652,0.73562216768624,0.6609217503553153,0.7140180427084463,0.03043314676170732,0.6975679410854069,0.6929964256980882,0.6941327814628984,0.7185149580315648,0.6270257514298224,0.03453606914565155,0.02677975897506446,0.027533319133566825,0.01710720965467516,0.03389599892549289,0.6860475715415562,0.027970471166890176,0.007032750246942158
B,all_slices,dice_rv,0.7902701832698441,0.7946262594657539,0.7806603269334558,0.7474702881671057,0.7165351712341275,0.7659124458140574,0.03321712995397898,0.794706955390256,0.8095884830500639,0.783909657698671,0.754543703244343,0.6718167581197072,-0.004436772120411936,-0.014962223584309986,-0.0032493307652152748,-0.007073415077237244,0.04471841311442026,0.7629131115006083,0.0029993343134491644,0.023763947865226405
B,all_slices,hd95_2d_px_lv,42.198608704229464,69.23197953793014,49.94544391407727,49.01312276065519,97.34594561780328,61.547020106939065,22.39797895928808,38.21080687842486,57.97425247968232,41.94850017077435,38.75647404467928,91.68925976252514,3.9878018258046026,11.257727058247823,7.996943743302921,10.256648715975913,5.656685855278141,53.715858667217184,7.83116143972188,3.0476048557329096
B,all_slices,hd95_2d_px_macro,44.24865666906459,54.88573577372404,48.983193587488984,52.47066263040057,84.95394129490433,57.1084379911165,16.071830884770094,39.392578987720604,47.32129520039248,43.92947947916717,46.21748165913314,90.31404489888665,4.856077681343983,7.5644405733315665,5.053714108321813,6.253180971267426,-5.360103603982324,53.43497604506001,3.673461946056493,5.164872880395568
B,all_slices,hd95_2d_px_myo,45.33276974758865,51.83041268240592,52.76138307571479,46.135261297234,81.98180574145141,55.60832650887895,15.11013035914482,38.123353664238536,46.63339727115525,47.709739460658646,40.67228077835814,85.3402556255242,7.2094160833501135,5.197015411250668,5.051643615056143,5.46298051887586,-3.358449884072783,51.695805359986956,3.912521148892,4.155959147176242
B,all_slices,hd95_2d_px_rv,45.214591555375655,43.59481510083608,44.24275377267489,62.2636038333125,75.53407252545828,54.16996735753148,14.252316580102153,41.843576420498394,37.35623585033986,42.13019880606852,59.22369015436201,93.91261930861064,3.3710151348772612,6.2385792504962225,2.1125549666063677,3.039913678950491,-18.37854678315236,54.89326410797588,-0.7232967504444033,9.989278861374327
B,foreground_present,dice_lv,0.8194589258657864,0.7916022212717156,0.8180079276739478,0.8225501723416597,0.723004477638855,0.7949247449583929,0.04207578760447294,0.7783564754591866,0.7785792906537072,0.7924654733341355,0.8067884080365926,0.7241583899323423,0.041102450406599766,0.01302293061800841,0.02554245433981228,0.01576176430506715,-0.0011539122934872692,0.7760696074831929,0.018855137475200068,0.015681269133554925
B,foreground_present,dice_macro,0.7867099349158968,0.7799979743366326,0.7839998702798175,0.793599414971867,0.737943416079546,0.776450122116752,0.022089105723408154,0.7376351912392005,0.745657584206148,0.7508002198403378,0.768952092094869,0.7200855591026786,0.049074743676696286,0.03434039013048462,0.0331996504394797,0.024647322876998,0.01785785697686748,0.7446261292966467,0.031823992820105215,0.011751283294705239
B,foreground_present,dice_myo,0.7419320619963184,0.73677339185284,0.7450667827114987,0.7547651376413108,0.7165228230545353,0.7390120394513007,0.014178530842483833,0.6461564179344288,0.6710085684208633,0.691019428318681,0.7063526203608562,0.6708648293204446,0.09577564406188965,0.06576482343197665,0.054047354392817715,0.04841251728045459,0.04565799373409074,0.6770803728710548,0.06193166658024587,0.02043202209517296
B,foreground_present,dice_rv,0.7987388168855857,0.8116183098853424,0.7889249004540061,0.8034829349326306,0.7743029475452483,0.7954135819405626,0.014374688908991523,0.788392680323986,0.7873848935438735,0.768915757868197,0.793715247887158,0.7652334580552491,0.010346136561599661,0.024233416341468916,0.020009142585809103,0.009767687045472595,0.009069489489999194,0.7807284075356927,0.014685174404869893,0.006965242452164734
B,foreground_present,hd95_2d_px_lv,32.58512207080746,49.317841394193096,34.142677384557444,34.70659060444409,71.55095301343756,44.46063689348793,16.58393215420363,36.105016514850895,44.78536938689273,32.6149504730876,30.589375966781976,68.8036771816116,-3.5198944440434374,4.532472007300363,1.5277269114698413,4.117214637662112,2.7472758318259594,42.57967790464496,1.8809589888429676,3.243295245208444
B,foreground_present,hd95_2d_px_macro,27.99638825438289,33.50200968114384,28.553423145425683,28.332147377849168,53.66196597476837,34.40918688671399,10.998145725310343,32.540822392614906,35.980752373265,30.011457739994075,28.69598858160386,56.7021513563374,-4.544434138232017,-2.478742692121159,-1.4580345945683924,-0.3638412037546921,-3.0401853815690316,36.78623448876304,-2.3770476020490583,1.5847115599731902
B,foreground_present,hd95_2d_px_myo,26.948462478579458,31.454579876761066,30.54297923169538,24.991198877445065,50.26804605724537,32.841053304345266,10.090173073117224,36.13259661246361,36.01751331814939,30.717350626725615,27.451192153681042,55.30246403056935,-9.18413413388415,-4.562933441388324,-0.17437139503023502,-2.459993276235977,-5.034417973323976,37.1242233483178,-4.283170043972532,3.34918982309364
B,foreground_present,hd95_2d_px_rv,24.455580213761753,19.73360777247735,20.97461282002422,25.298652651658344,39.166898853622165,25.92587046230877,7.757884020734913,25.384854050530205,27.139374414752872,26.702072120169014,28.047397624348555,46.00031285683126,-0.9292738367684521,-7.405766642275523,-5.727459300144794,-2.7487449726902113,-6.833414003209093,30.654802213326384,-4.7289317510176145,2.781631166851095
