vendor,stratum,metric,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,source_mean,source_std
B,all_slices,dice_lv,0.8008056683405645,0.7646405080072158,0.793840845741216,0.809371727134812,0.6804954793311346,0.7698308457109886,0.052695228279845276
B,all_slices,dice_macro,0.7643601882720757,0.7557418055851226,0.7572944283009284,0.7608101294702398,0.6597793296268881,0.7395971762510509,0.044743509514796546
B,all_slices,dice_myo,0.6975679410854069,0.6929964256980882,0.6941327814628984,0.7185149580315648,0.6270257514298224,0.6860475715415562,0.03458353127856257
B,all_slices,dice_rv,0.794706955390256,0.8095884830500639,0.783909657698671,0.754543703244343,0.6718167581197072,0.7629131115006083,0.0547697141782401
B,all_slices,hd95_2d_px_lv,38.21080687842486,57.97425247968232,41.94850017077435,38.75647404467928,91.68925976252514,53.715858667217184,22.708884020626915
B,all_slices,hd95_2d_px_macro,39.392578987720604,47.32129520039248,43.92947947916717,46.21748165913314,90.31404489888665,53.43497604506001,20.839136368182352
B,all_slices,hd95_2d_px_myo,38.123353664238536,46.63339727115525,47.709739460658646,40.67228077835814,85.3402556255242,51.695805359986956,19.23015385999982
B,all_slices,hd95_2d_px_rv,41.843576420498394,37.35623585033986,42.13019880606852,59.22369015436201,93.91261930861064,54.89326410797588,23.355942577677634
B,foreground_present,dice_lv,0.7783564754591866,0.7785792906537072,0.7924654733341355,0.8067884080365926,0.7241583899323423,0.7760696074831929,0.03130004755111957
B,foreground_present,dice_macro,0.7376351912392005,0.745657584206148,0.7508002198403378,0.768952092094869,0.7200855591026786,0.7446261292966467,0.017902852843196905
B,foreground_present,dice_myo,0.6461564179344288,0.6710085684208633,0.691019428318681,0.7063526203608562,0.6708648293204446,0.6770803728710548,0.02281968733193751
B,foreground_present,dice_rv,0.788392680323986,0.7873848935438735,0.768915757868197,0.793715247887158,0.7652334580552491,0.7807284075356927,0.012760682360608821
B,foreground_present,hd95_2d_px_lv,36.105016514850895,44.78536938689273,32.6149504730876,30.589375966781976,68.8036771816116,42.57967790464496,15.632878705248515
