vendor,metric,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026,mean,std,std_ddof
B,dice_lv,0.8187056471027712,0.8076715428418955,0.8326760748143055,0.8365345356562237,0.7273993354155305,0.8045974271661454,0.04465542178549267,1
B,dice_macro,0.7820095865701856,0.7879275955296259,0.7927870395946695,0.8000732159095298,0.7345710075395877,0.7794736890287197,0.02596023847823055,1
B,dice_myo,0.6977321999641297,0.7195872596825941,0.7338968103510993,0.7410167867556795,0.6936889001631009,0.7171843913833207,0.021115679314735063,1
B,dice_rv,0.8295909126436558,0.8365239840643877,0.811788233618603,0.8226683253166859,0.7826247870401322,0.8166392485366929,0.021095106148118523,1
B,hd95_px_lv,24.420090855087157,43.85531888817449,15.566489790367777,26.497420878625213,80.4112690444222,38.15011789133537,25.7530263439432,1
B,hd95_px_macro,14.07062785255756,20.759049918529442,9.815139188139938,19.013104409949044,59.91969196368632,24.71552266657246,20.14224416422559,1
B,hd95_px_myo,11.404689263190257,14.80919334464135,11.090955695981348,14.521771742311422,55.35622839556893,21.436567688338663,19.039105470016693,1
B,hd95_px_rv,6.387103439395263,3.612637522772479,2.787972078070685,16.020120608910492,43.99157845106782,14.559882420043348,17.274051254972274,1
C,dice_lv,0.8021388433798465,0.7801471911144603,0.7959423183500536,0.803443566773741,0.6959555329634791,0.7755254905163161,0.045434773722133295,1
C,dice_macro,0.7354631727153348,0.7355999352426116,0.7379098617860875,0.748124150326814,0.6769270364511206,0.7268048313043937,0.028363489798845048,1
C,dice_myo,0.653992782489462,0.6764972542586156,0.6665342309802702,0.698184805380268,0.6065910757238688,0.6603600297664969,0.03413534342105878,1
C,dice_rv,0.7502578922766961,0.7501553603547593,0.7512530360279385,0.7427440788264329,0.7282345006660137,0.7445289736303681,0.009726066139532747,1
C,hd95_px_lv,12.212863039189246,24.447841255647646,22.20964782690698,28.408356243374723,90.68896089108213,35.593533851240146,31.373330609485812,1
C,hd95_px_macro,10.69036972374349,14.6006121432327,25.599466023434942,23.267508072774294,66.21531457664932,28.07465410796695,22.179429323495697,1
C,hd95_px_myo,7.11010058516452,12.669087537577195,50.1757651971091,23.396506412288588,74.4061763204019,33.55152721050826,28.21266301954227,1
C,hd95_px_rv,12.748145546876712,6.6849076364732545,4.412985046288749,17.997661562659584,33.550806518463936,15.078901262152447,11.61231851748416,1
D,dice_lv,0.8533846654319727,0.8374037131493374,0.8404106310685487,0.866233373571155,0.7437826896050065,0.8282430145652041,0.048582110308249035,1
D,dice_macro,0.7800415702661239,0.7908065367460279,0.793286336152505,0.8121789582656761,0.752088579310303,0.7856803961481271,0.02205962347180202,1
D,dice_myo,0.7177703830466535,0.7246052980904808,0.7388567828885292,0.7508043430678453,0.7173598971739724,0.7298793408534963,0.014574198429430604,1
D,dice_rv,0.7689696623197461,0.8104105989982652,0.800591594500437,0.819499158158028,0.7951231511519303,0.7989188330256813,0.019168780774563726,1
D,hd95_px_lv,5.746585836512108,31.08153550511409,22.243693763891553,8.618176009596285,85.75626326651185,30.68925087632518,32.454298870917704,1
D,hd95_px_macro,4.447003044692133,13.380428029499619,10.575607812427888,7.891707210354963,49.25420877017235,17.10979097342939,18.270102349411374,1
D,hd95_px_myo,2.2582914778786622,5.457124291779644,5.658998935905728,2.291380626813853,27.478101980988757,8.628779462673329,10.664446697659285,1
D,hd95_px_rv,5.336131819685632,3.6026242916051308,3.8241307374863918,12.765564994654756,34.528261063016444,12.011342581289671,13.132744278367463,1
