task_id,patient_setting,seed,vendor,domain,branch_index,test_fraction,paper_lambda,n_slices,mean_balanced_entropy,mean_weight,min_weight,max_weight
37,2,4,B,vendor_B_Philips,0,0.0,1.0,2642,0.02927600879907912,0.12248770875699767,0.07293003797531128,0.31044986844062805
37,2,4,B,vendor_B_Philips,1,0.2,0.8,2642,0.02915912840679132,0.13887972190953582,0.07619264721870422,0.2877751886844635
37,2,4,B,vendor_B_Philips,2,0.4,0.6,2642,0.027301099127340515,0.15630760815144037,0.07376978546380997,0.2860008776187897
37,2,4,B,vendor_B_Philips,3,0.6,0.4,2642,0.025357828618288555,0.17494757969798147,0.06853705644607544,0.29528912901878357
37,2,4,B,vendor_B_Philips,4,0.8,0.19999999999999996,2642,0.023370512141075436,0.19547520476385646,0.07037434726953506,0.30646568536758423
37,2,4,B,vendor_B_Philips,5,1.0,0.0,2642,0.022429352638855485,0.21190217689785157,0.06853348761796951,0.32662591338157654
