method,labeled_cases_per_class,seed,epoch,steps,lambda_u,ema_alpha,train_loss,supervised_loss,ce_loss,dice_loss,consistency_loss,labeled_slice_count,unlabeled_slice_count,run_dir
MeanTeacher,1,0,1,180,0.008624700856245927,0.99,0.39842962419821154,0.3976016835620006,0.14315717370352812,0.5088890203999148,0.0959964231794907,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,2,180,0.010970998366931477,0.99,0.12138806945747799,0.12126823075943523,0.011717245463902752,0.21910197080837357,0.0109232908502842,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,3,180,0.013868641425911234,0.99,0.0826683470668892,0.0826224205808507,0.0053422973361901115,0.15456024619440237,0.0033115240195507392,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,4,180,0.017422374639493515,0.99,0.06803076383657754,0.06799310914551218,0.0033837707764986487,0.12921867728647257,0.002161279101468002,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,5,180,0.021750359344450344,0.99,0.06095077059386919,0.06090893369788925,0.0024220941468633505,0.11697367943512897,0.0019234921676494802,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,6,180,0.026984301715802485,0.99,0.04980194133046704,0.04975938262262692,0.000361947249216933,0.09879487059855213,0.0015771707962913852,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,7,180,0.0332691412775071,0.99,0.04965501693271411,0.04960042353680668,0.0003237506506088216,0.09855334597393973,0.001640964921292228,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,8,180,0.04076220397836621,0.99,0.04841204055378007,0.048348965717984055,9.31732714282892e-05,0.09651158490386377,0.0015473861257002377,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,9,180,0.049631726627101705,0.99,0.07563133199453458,0.07548775240591366,0.00768434235962761,0.13560682036073154,0.002892898033476538,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
MeanTeacher,1,0,10,180,0.060054667895307945,0.99,0.05850599353046467,0.05839321574118609,0.0022517078341075425,0.11228301582288824,0.0018779183951361726,92,1438,/rds/general/user/hs225/home/TTA_Project_runs/Research/ResUNet34_params/Patient1/Seed0
