task_id,patient_setting,seed,vendor,domain,branch_index,test_fraction,paper_lambda,n_slices,mean_balanced_entropy,mean_weight,min_weight,max_weight
9,1,2,B,vendor_B_Philips,0,0.0,1.0,2642,0.06806886680079703,0.111820993438803,0.0685335025191307,0.29510074853897095
9,1,2,B,vendor_B_Philips,1,0.2,0.8,2642,0.06173100647743024,0.1300643902697814,0.06853664666414261,0.28198331594467163
9,1,2,B,vendor_B_Philips,2,0.4,0.6,2642,0.05265019392300601,0.1519154067278856,0.07208697497844696,0.2809879183769226
9,1,2,B,vendor_B_Philips,3,0.6,0.4,2642,0.04293306993609241,0.17717574352368903,0.06853555142879486,0.27412277460098267
9,1,2,B,vendor_B_Philips,4,0.8,0.19999999999999996,2642,0.03347500926035385,0.20319952919267056,0.06853476911783218,0.3057329058647156
9,1,2,B,vendor_B_Philips,5,1.0,0.0,2642,0.025576277991110414,0.22582393829385772,0.06853348761796951,0.3348389267921448
