vendor,aggregation,metric,cotta_seed_2022,cotta_seed_2023,cotta_seed_2024,cotta_seed_2025,cotta_seed_2026,cotta_mean,cotta_std,source_seed_2022,source_seed_2023,source_seed_2024,source_seed_2025,source_seed_2026,cotta_minus_source_seed_2022,cotta_minus_source_seed_2023,cotta_minus_source_seed_2024,cotta_minus_source_seed_2025,cotta_minus_source_seed_2026,source_mean,cotta_minus_source_mean,cotta_minus_source_std,tent_seed_2022,tent_seed_2023,tent_seed_2024,tent_seed_2025,tent_seed_2026,cotta_minus_tent_seed_2022,cotta_minus_tent_seed_2023,cotta_minus_tent_seed_2024,cotta_minus_tent_seed_2025,cotta_minus_tent_seed_2026,tent_mean,cotta_minus_tent_mean,cotta_minus_tent_std,sar_seed_2022,sar_seed_2023,sar_seed_2024,sar_seed_2025,sar_seed_2026,cotta_minus_sar_seed_2022,cotta_minus_sar_seed_2023,cotta_minus_sar_seed_2024,cotta_minus_sar_seed_2025,cotta_minus_sar_seed_2026,sar_mean,cotta_minus_sar_mean,cotta_minus_sar_std
B,patient_volume,dice_lv,0.6795549203879283,0.715140817070056,0.7866748584031267,0.7834101539776146,0.7719558513615126,0.7473473202400476,0.04765981368841117,0.7252450593027886,0.7394181245463203,0.8240519693251214,0.8322953014624344,0.804899069401949,-0.04569013891486029,-0.02427730747626433,-0.037377110921994694,-0.04888514748481976,-0.03294321804043643,0.7851819048077228,-0.0378345845676751,0.0098964537292523,0.67954570093389,0.7151928709848441,0.7867536325545991,0.7834244671375519,0.7718743472235602,9.219454038311703e-06,-5.2053914788130484e-05,-7.877415147239386e-05,-1.4313159937273667e-05,8.150413795238176e-05,0.7473582037668891,-1.088352684142091e-05,6.175660002368441e-05,0.6795299574784087,0.7151410682961316,0.7867099174531195,0.783373929591977,0.7718278066752867,2.4962909519588017e-05,-2.512260756093454e-07,-3.5059049992791635e-05,3.622438563755104e-05,0.00012804468622584775,0.7473165358989847,3.078434106291716e-05,6.087203065596926e-05
B,patient_volume,dice_macro,0.7202932608607118,0.7348030055786756,0.765281642095653,0.7714013396894344,0.7613683757407783,0.7506295247930506,0.021978645175669182,0.7227219823655793,0.7297713122916762,0.7606930148423939,0.783033321108587,0.7645513417966803,-0.0024287215048675037,0.0050316932869993725,0.004588627253259037,-0.01163198141915267,-0.003182966055901959,0.7521541944809833,-0.0015246696879327448,0.006820617675731876,0.7202669633337037,0.7348269575908657,0.7653447093079653,0.7713798347841049,0.7613894037636688,2.6297527008112276e-05,-2.3952012190076033e-05,-6.306721231230661e-05,2.150490532948357e-05,-2.102802289050132e-05,0.7506415737560617,-1.2048963011057624e-05,3.6815361044154614e-05,0.7202434484096844,0.7347948376072301,0.7653149404718024,0.771344315286531,0.7613566207390108,4.9812451027420046e-05,8.167971445538491e-06,-3.329837614940434e-05,5.7024402903338434e-05,1.1755001767532747e-05,0.7506108325028518,1.8692290198885074e-05,3.6399628836437906e-05
B,patient_volume,dice_myo,0.7089220104151577,0.7202414746162303,0.7410722928839695,0.7639557542260315,0.7156936044272731,0.7299770273137324,0.022470923951482386,0.6934413374681028,0.679775508901106,0.6966485136976687,0.7380833225831865,0.6930955459041174,0.015480672947054908,0.040465965715124286,0.044423779186300805,0.025872431642844917,0.022598058523155773,0.7002088457108362,0.029768181602896137,0.012246933919956663,0.708925250257403,0.7202946533328861,0.7411585882719589,0.7639488717423393,0.7156428065466954,-3.2398422453727704e-06,-5.3178716655777336e-05,-8.629538798943237e-05,6.88248369218325e-06,5.079788057771317e-05,0.7299940340302566,-1.700671652413721e-05,5.354208085579975e-05,0.7089117142509945,0.7202660362950706,0.741140422132739,0.7639200731288353,0.7156088283957266,1.029616416314827e-05,-2.4561678840240297e-05,-6.812924876953286e-05,3.568109719620516e-05,8.477603154655178e-05,0.7299694148406732,7.61247305922641e-06,5.814045298530586e-05
B,patient_volume,dice_rv,0.7724028517790495,0.7690267250497403,0.7680977749998626,0.7668381108646571,0.7964556714335491,0.7745642268253718,0.012410466168610692,0.7494795503258471,0.7701203034276022,0.7613785615043916,0.7787213392801396,0.7956594100839742,0.022923301453202427,-0.0010935783778618369,0.006719213495470999,-0.011883228415482505,0.0007962613495748894,0.771071832924391,0.0034923939009807946,0.01277382643429483,0.7723299388098182,0.7689933484548671,0.7681219070973375,0.7667661654724236,0.796651057520751,7.29129692313979e-05,3.337659487323563e-05,-2.413209747487155e-05,7.194539223354113e-05,-0.00019538608720193196,0.7745724834710395,-8.25664566772577e-06,0.0001118298460198738,0.7722886734996491,0.7689774082304875,0.768094481829549,0.7667389431387803,0.7966332271460186,0.00011417827940041203,4.931681925279818e-05,3.2931703136673818e-06,9.916772587681422e-05,-0.00017755571246946822,0.774546546768897,1.768005647484472e-05,0.00011755532742087605
B,patient_volume,hd95_px_lv,95.90224996860822,95.38217239632125,70.51525093093237,74.25113237250567,78.28402542664838,82.86696621900317,11.98279827323048,86.74456560687204,85.5587487802356,44.15922632778967,40.84818789099094,61.06120689982632,9.157684361736173,9.823423616085648,26.3560246031427,33.40294448151472,17.222818526822067,63.67438710114292,19.192579117860262,10.554733290781098,95.90267080124681,95.06440781867379,70.51020489310964,74.40520214862153,78.28284091451917,-0.0004208326385963801,0.31776457764746624,0.0050460378227228375,-0.15406977611586115,0.0011845121292139993,82.8330653152342,0.03390090376898911,0.1724764541936777,95.90489124646918,95.06743064738659,70.5144094649069,74.43644091024342,78.28698848776423,-0.00264127786095969,0.3147417489346651,0.000841466025462978,-0.1853085377377539,-0.0029630611158495412,82.84203215135406,0.02493406764911299,0.18049206920131608
B,patient_volume,hd95_px_macro,72.96604388790979,70.49607597553171,53.49812688866885,44.287251807759844,55.775974994420096,59.40469471085805,12.078091322796999,70.55286035592734,65.9357734188304,34.5278900978915,23.021406684291378,38.07725760850244,2.4131835319824546,4.560302556701316,18.97023679077735,21.265845123468466,17.698717385917654,46.42303763308861,12.98165707776945,8.794221988950667,72.94575759557935,70.40103440933794,53.42266916308178,44.369884409901815,55.75198915374772,0.020286292330439437,0.09504156619377113,0.07545772558707142,-0.08263260214197032,0.02398584067237408,59.378266946329724,0.02642776452833715,0.06901020778033909,72.94849434537592,70.40754741267325,53.427365548170144,44.43312343016608,55.75642308429894,0.017549542533870977,0.0885285628584569,0.07076134049870575,-0.14587162240623286,0.019551910121158755,59.394590764136865,0.010103946721191904,0.09260510098017644
B,patient_volume,hd95_px_myo,69.17825131217289,54.83449328443409,46.42858634536891,13.414712944310356,63.88018756533109,49.547246290323464,21.988920792017282,55.89585836262366,61.09815593709347,29.506180289995,5.962294849456688,41.45736637079019,13.282392949549227,-6.263662652659384,16.922406055373912,7.452418094853668,22.4228211945409,38.7839711619918,10.763275128331665,10.967044352713618,69.12792202512261,54.82245963389267,46.229468048061,13.44622824283985,63.82954297798226,0.05032928705027473,0.012033650541418695,0.19911829730791197,-0.03151529852949331,0.05064458734883459,49.49112418557968,0.056122104743789335,0.08679800871551789,69.12744241156514,54.83281806784717,46.2354267790426,13.448723860669311,63.83738773475097,0.05080890060774834,0.001675216586917827,0.19315956632631526,-0.03401091635895526,0.04279983058012249,49.496359770775044,0.05088651954842973,0.08651061692857523
B,patient_volume,hd95_px_rv,53.81763038294827,61.271562245839775,43.55054338970526,45.195910106463515,25.163711991280817,45.799871623247526,13.554823842657877,69.01815709828631,51.150415539162076,29.918263675889833,22.253737312426523,11.713199554890808,-15.200526715338036,10.121146706677699,13.632279713815429,22.942172794036992,13.450512436390008,36.81075463613111,8.989116987116418,14.340250429735445,53.80667996036866,61.316235775447396,43.52833454807468,45.2582228382441,25.143583568741796,0.01095042257961154,-0.044673529607621276,0.022208841630579457,-0.062312731780586716,0.020128422539020363,45.81061133817533,-0.010739714927799326,0.039749815097255316,53.813149378093435,61.32239352278599,43.53226040056096,45.41420551958551,25.144893030381603,0.004481004854838488,-0.050831276946212256,0.018282989144303485,-0.21829541312199296,0.018818960899213977,45.8453803702815,-0.04550874703396986,0.10073477082040833
C,patient_volume,dice_lv,0.6995972914705512,0.7464819936939223,0.8038351601171725,0.7951132858502739,0.8023266648461932,0.7694708791956226,0.045630983419156876,0.6654971690567646,0.7445734166475869,0.8268730665438013,0.817379545088758,0.7912146495698874,0.03410012241378657,0.0019085770463354024,-0.02303790642662884,-0.022266259238484132,0.011112015276305787,0.7691075693813596,0.0003633098142629576,0.024061428476763742,0.699602086953381,0.7466560963240895,0.8038968371541177,0.7951084635378866,0.8024130498793981,-4.795482829833553e-06,-0.00017410263016715,-6.167703694526239e-05,4.822312387298133e-06,-8.638503320490543e-05,0.7695353067697746,-6.442757415197065e-05,7.223199858108735e-05,0.699589124857226,0.7466225239713276,0.8038874467230747,0.7950950967885335,0.8023980391874875,8.166613325144567e-06,-0.0001405302774052375,-5.2286605902174266e-05,1.8189061740336854e-05,-7.137434129433906e-05,0.7695184463055298,-4.756710990725388e-05,6.453938804155848e-05
C,patient_volume,dice_macro,0.7004781836214596,0.7179262967436617,0.739262341228857,0.7484933452778578,0.744773778315929,0.7301867890375531,0.020391155020140973,0.6606619283228296,0.6906160349916658,0.7263139414388655,0.7531218590936395,0.7251629525113341,0.03981625529863009,0.027310261751995912,0.012948399789991516,-0.004628513815781665,0.019610825804594834,0.7111753432716669,0.019011445765886138,0.016565611356244646,0.7004652616177739,0.7179800616850155,0.7393815091477879,0.7485026032431686,0.7448172897395228,1.2922003685744698e-05,-5.37649413537844e-05,-0.00011916791893085144,-9.257965310816019e-06,-4.351142359382276e-05,0.7302293450866537,-4.255604910070598e-05,5.04542053001757e-05,0.7004556224507911,0.7179661141473399,0.7393677375430024,0.748495869401643,0.7448086027076591,2.2561170668566888e-05,-3.9817403678199526e-05,-0.00010539631414541173,-2.5241237852080545e-06,-3.4824391730192694e-05,0.7302187892500871,-3.200021253408902e-05,4.8223066426176804e-05
