task_id,patient_setting,seed,vendor,domain,branch_index,test_fraction,paper_lambda,n_slices,mean_balanced_entropy,mean_weight,min_weight,max_weight
43,3,0,D,vendor_D_Canon,0,0.0,1.0,1266,0.01947605609011617,0.14105020087995046,0.06854028254747391,0.312301903963089
43,3,0,D,vendor_D_Canon,1,0.2,0.8,1266,0.01935657294159323,0.1530242892273512,0.0714789479970932,0.29180288314819336
43,3,0,D,vendor_D_Canon,2,0.4,0.6,1266,0.018438998384435155,0.16511287320681847,0.06971431523561478,0.29020071029663086
43,3,0,D,vendor_D_Canon,3,0.6,0.4,1266,0.017087612757074107,0.17551341807649223,0.07384450733661652,0.3272683918476105
43,3,0,D,vendor_D_Canon,4,0.8,0.19999999999999996,1266,0.01759999667404509,0.18523677169546884,0.06853548437356949,0.310688316822052
43,3,0,D,vendor_D_Canon,5,1.0,0.0,1266,0.019200089731636037,0.18006244516603379,0.06853348761796951,0.34038782119750977
