method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,1,A,vendor_A_Siemens,1,47,139,0.23885486371439996,0.02345365250362552,0.4308024227833576,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,48,139,0.23279444937654536,0.021280293543856563,0.42302831139067093,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,49,139,0.2301835538886434,0.021024823362985962,0.4183174622037428,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,50,139,0.23161416742012655,0.02128459428765362,0.4206591455413283,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,51,139,0.23193087455608863,0.02130775653469048,0.4212462370344203,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,52,139,0.22842440888178434,0.020427074497766633,0.4159946694648523,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,53,139,0.226340425475467,0.019775509445680132,0.4131298324615835,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,54,139,0.2318970270508485,0.02105109319894863,0.42169186773060036,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,55,139,0.22984254247636246,0.020687891548941677,0.4183093026387606,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,56,139,0.22459866642523155,0.01919820171063967,0.41080092944258406,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,57,139,0.22541581994766813,0.019207839941163714,0.4124159592089893,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,58,139,0.2242249860930786,0.019049872061331494,0.41035022913552016,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,59,139,0.2259090248522141,0.019685631721756226,0.41244678681702923,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,60,139,0.22403804668419652,0.018852269075971713,0.41037155580606394,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,61,139,0.22135190558519294,0.018269975743383814,0.40616386046083713,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,62,139,0.22376064205770013,0.01918386707497801,0.4091535517208868,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,63,139,0.22198752989228682,0.018453442397788702,0.40706817323355365,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,64,139,0.21861268445956622,0.01684289456767251,0.40353957729802714,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,65,139,0.21984420384434486,0.017883644975293024,0.40392111799270985,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,66,139,0.21467135203399246,0.016150443204980103,0.3970418169344072,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,67,139,0.21646890306858707,0.01680346006165734,0.3993308859334575,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,68,139,0.21843480291984063,0.01738297961411073,0.4021036473752783,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,69,139,0.21886504371818022,0.017354252319380963,0.403021581953378,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,70,139,0.21282967748187429,0.015649008869508402,0.3943613365614157,0.001,95,2212
