task_id,patient_setting,seed,vendor,domain,branch_index,test_fraction,paper_lambda,n_slices,mean_balanced_entropy,mean_weight,min_weight,max_weight
46,3,1,C,vendor_C_GE,0,0.0,1.0,1788,0.015901039948912676,0.1458112895988778,0.06853348761796951,0.32085874676704407
46,3,1,C,vendor_C_GE,1,0.2,0.8,1788,0.014803342534038403,0.15852654074845832,0.06919343024492264,0.30410459637641907
46,3,1,C,vendor_C_GE,2,0.4,0.6,1788,0.016695370032902432,0.16521515376382492,0.07167653739452362,0.30080050230026245
46,3,1,C,vendor_C_GE,3,0.6,0.4,1788,0.019252935905584596,0.17115968391215908,0.06853395700454712,0.31988397240638733
46,3,1,C,vendor_C_GE,4,0.8,0.19999999999999996,1788,0.019238099743560916,0.17998802768570732,0.06853348761796951,0.32523733377456665
46,3,1,C,vendor_C_GE,5,1.0,0.0,1788,0.019615065935371025,0.17929930727870538,0.06853348761796951,0.33796751499176025
